cpu_load,mem_avail,timestamp
40.2,29502750720,1526521821893.1677
12.5,29502750720,1526521822092.762
9.7,29502750720,1526521822290.584
11.4,29501272064,1526521822490.6143
17.0,29497905152,1526521822690.8857
19.1,29499367424,1526521822890.7263
19.1,29495492608,1526521823090.734
17.6,29498478592,1526521823290.8167
26.3,29497876480,1526521823491.0405
27.4,29494964224,1526521823691.0645
28.2,29495795712,1526521823891.0496
23.1,29495615488,1526521824090.7717
21.2,29494472704,1526521824290.8047
21.4,29494431744,1526521824490.691
29.7,29493866496,1526521824690.8613
31.0,29490704384,1526521824891.0151
32.9,29489483776,1526521825090.9856
39.6,29490688000,1526521825290.9368
40.5,29483663360,1526521825491.155
39.6,29490237440,1526521825691.1357
42.9,29487374336,1526521825891.1267
46.5,29489721344,1526521826091.0815
45.6,29490491392,1526521826290.8323
44.0,29486694400,1526521826491.0266
42.1,29484929024,1526521826691.231
49.7,29484453888,1526521826891.1704
48.1,29488295936,1526521827091.038
29.0,29488144384,1526521827290.6836
42.4,29485588480,1526521827491.0396
49.0,29478948864,1526521827691.0735
46.2,29488914432,1526521827891.1792
48.4,29482856448,1526521828091.2314
46.8,29488050176,1526521828291.204
41.8,29484838912,1526521828491.1401
45.6,29484232704,1526521828691.14
48.4,29478006784,1526521828891.2278
49.4,29482176512,1526521829091.155
47.1,29482795008,1526521829291.1724
47.5,29482717184,1526521829491.1995
48.7,29481390080,1526521829691.0183
30.1,29488590848,1526521829890.9495
44.9,29475774464,1526521830091.1
46.5,29479669760,1526521830291.2458
50.0,29471895552,1526521830491.1265
43.9,29487890432,1526521830690.9778
45.8,29478158336,1526521830890.9426
48.4,29478592512,1526521831091.175
47.8,29479870464,1526521831291.1663
49.4,29485588480,1526521831491.1619
48.1,29479235584,1526521831691.441
48.7,29481947136,1526521831891.203
47.8,29480935424,1526521832091.1545
50.0,29477654528,1526521832291.0828
48.4,29480632320,1526521832490.9258
48.1,29483769856,1526521832691.1697
40.9,29477826560,1526521832891.1887
43.9,29484740608,1526521833091.112
46.2,29483962368,1526521833291.2039
46.2,29480886272,1526521833491.1624
42.3,29483565056,1526521833691.095
39.9,29482516480,1526521833891.0293
47.2,29481816064,1526521834091.022
44.6,29478064128,1526521834291.1167
48.4,29477117952,1526521834491.0647
49.1,29477859328,1526521834691.1008
21.6,29482860544,1526521834890.8474
40.6,29479923712,1526521835091.0562
50.3,29475577856,1526521835291.1497
49.4,29479505920,1526521835491.0515
40.1,29477195776,1526521835690.9402
48.7,29473517568,1526521835891.0466
50.0,29476704256,1526521836091.1055
50.0,29482266624,1526521836291.1858
46.5,29482668032,1526521836491.1248
50.9,29478055936,1526521836691.1152
49.7,29475270656,1526521836891.088
50.3,29483048960,1526521837091.071
50.0,29484998656,1526521837291.2546
48.4,29486120960,1526521837491.0913
49.7,29480136704,1526521837690.8926
50.0,29481078784,1526521837891.2373
49.7,29486247936,1526521838091.1296
26.3,29486977024,1526521838290.813
45.6,29474717696,1526521838491.3113
50.0,29481705472,1526521838691.1765
49.0,29481873408,1526521838891.0112
47.5,29476675584,1526521839091.0347
51.3,29473083392,1526521839291.0715
46.8,29475979264,1526521839491.1238
47.8,29475708928,1526521839691.1572
50.6,29470310400,1526521839891.2334
47.7,29470220288,1526521840091.0142
48.7,29472423936,1526521840291.266
45.2,29474635776,1526521840491.0837
48.1,29479714816,1526521840691.1616
46.9,29483864064,1526521840891.108
49.1,29485207552,1526521841091.2246
48.1,29483458560,1526521841291.0103
49.4,29481713664,1526521841491.0505
48.1,29476532224,1526521841691.0698
48.1,29479923712,1526521841891.243
46.2,29482852352,1526521842091.168
46.2,29478006784,1526521842291.1855
44.5,29482733568,1526521842491.2234
47.8,29482106880,1526521842691.1907
50.6,29483327488,1526521842890.991
49.0,29480468480,1526521843091.1736
44.5,29483347968,1526521843290.68
30.6,29485785088,1526521843491.1758
50.3,29479489536,1526521843691.073
49.0,29478137856,1526521843891.0415
49.7,29479763968,1526521844091.203
48.4,29482209280,1526521844291.1238
50.6,29480673280,1526521844491.1536
48.4,29480640512,1526521844691.172
46.9,29486903296,1526521844891.105
45.9,29478371328,1526521845090.9395
47.5,29480472576,1526521845291.086
49.1,29474217984,1526521845491.1116
33.5,29481517056,1526521845691.0686
43.7,29481648128,1526521845891.0935
50.9,29476589568,1526521846091.1023
47.1,29484408832,1526521846291.2087
44.8,29482835968,1526521846491.216
48.7,29479993344,1526521846691.1265
49.0,29477998592,1526521846891.2007
47.5,29486559232,1526521847091.045
48.1,29481754624,1526521847291.1587
49.4,29480779776,1526521847491.0452
