,cpu_load,mem_avail,timestamp,run
0,49.1,29961527296,1526518417518.5457,0
1,50.0,29961453568,1526518417718.5945,0
2,48.1,29968252928,1526518417918.4714,0
3,48.7,29964382208,1526518418118.4563,0
4,50.6,29968236544,1526518418318.6592,0
5,48.4,29968015360,1526518418518.474,0
6,48.4,29965758464,1526518418718.5598,0
7,49.0,29965127680,1526518418918.4568,0
8,47.8,29966372864,1526518419118.44,0
9,48.4,29965967360,1526518419318.5532,0
10,47.5,29966000128,1526518419518.461,0
11,52.2,29961605120,1526518419718.5496,0
12,52.2,29964828672,1526518419918.6785,0
13,52.8,29964677120,1526518420118.5205,0
14,54.8,29964308480,1526518420318.4724,0
15,54.3,29956378624,1526518420518.3647,0
16,50.3,29955502080,1526518420718.5647,0
17,50.6,29951442944,1526518420918.3909,0
18,50.6,29959237632,1526518421118.5757,0
19,49.7,29961760768,1526518421318.5354,0
20,50.6,29960839168,1526518421518.5576,0
21,50.9,29956173824,1526518421718.475,0
22,53.1,29959426048,1526518421918.5847,0
23,49.4,29959565312,1526518422118.439,0
24,50.6,29953110016,1526518422318.4202,0
25,50.6,29949394944,1526518422518.569,0
26,47.8,29958316032,1526518422718.4324,0
27,50.0,29959831552,1526518422918.5037,0
28,48.7,29955690496,1526518423118.5547,0
29,47.1,29953728512,1526518423318.5242,0
30,47.4,29957804032,1526518423518.5457,0
31,46.8,29960962048,1526518423718.5024,0
32,49.1,29960630272,1526518423918.465,0
33,49.1,29956919296,1526518424118.604,0
34,49.0,29951975424,1526518424318.483,0
35,48.1,29957304320,1526518424518.6035,0
36,49.7,29956620288,1526518424718.4336,0
37,50.9,29952966656,1526518424918.483,0
38,51.9,29950296064,1526518425118.499,0
39,49.4,29953695744,1526518425318.5093,0
40,50.3,29954064384,1526518425518.6184,0
41,50.0,29951799296,1526518425718.702,0
42,50.0,29954961408,1526518425918.5232,0
43,50.6,29958975488,1526518426118.319,0
44,50.9,29959622656,1526518426318.5007,0
45,52.9,29953617920,1526518426518.3928,0
46,50.9,29964894208,1526518426718.491,0
47,50.9,29960646656,1526518426918.4314,0
48,48.4,29964693504,1526518427118.1992,0
49,47.8,29962752000,1526518427318.389,0
50,49.1,29965168640,1526518427518.5618,0
51,49.7,29962825728,1526518427718.4338,0
52,50.6,29962899456,1526518427918.4128,0
53,53.1,29960241152,1526518428118.464,0
54,51.9,29962731520,1526518428318.5996,0
55,50.6,29959692288,1526518428518.538,0
56,50.9,29964353536,1526518428718.5647,0
57,50.3,29958885376,1526518428918.4678,0
58,48.4,29958365184,1526518429118.2695,0
59,50.6,29955674112,1526518429318.5706,0
60,52.5,29958664192,1526518429518.423,0
61,51.6,29962596352,1526518429718.8247,0
62,49.4,29963841536,1526518429918.4116,0
63,48.4,29961785344,1526518430118.5032,0
64,50.6,29960105984,1526518430318.6145,0
65,50.6,29971509248,1526518430518.2468,0
66,47.2,29967945728,1526518430718.4802,0
67,50.0,29955358720,1526518430918.5544,0
68,52.5,29965717504,1526518431118.5066,0
69,49.4,29958639616,1526518431318.4172,0
70,48.4,29961277440,1526518431518.531,0
71,49.0,29965164544,1526518431718.5168,0
72,51.3,29963608064,1526518431918.7295,0
73,49.4,29963046912,1526518432118.379,0
74,48.7,29960200192,1526518432318.5005,0
75,49.4,29960728576,1526518432518.5603,0
76,50.0,29959311360,1526518432718.5278,0
77,46.5,29959221248,1526518432918.3406,0
78,49.7,29959057408,1526518433118.472,0
79,50.0,29956730880,1526518433318.4956,0
80,49.1,29959131136,1526518433518.5051,0
81,49.4,29959774208,1526518433718.7,0
82,49.4,29956759552,1526518433918.5708,0
83,51.9,29952012288,1526518434118.6233,0
84,49.4,29960646656,1526518434318.46,0
85,50.3,29957459968,1526518434518.4316,0
86,48.7,29958180864,1526518434718.5132,0
87,51.3,29957226496,1526518434918.4004,0
88,50.9,29963632640,1526518435118.4172,0
89,50.9,29957324800,1526518435318.3423,0
90,50.6,29959376896,1526518435518.6074,0
91,53.2,29957410816,1526518435718.5747,0
92,49.7,29962498048,1526518435918.4658,0
93,46.8,29959942144,1526518436118.564,0
94,48.1,29963362304,1526518436318.6067,0
95,47.8,29965496320,1526518436518.3848,0
96,47.2,29962936320,1526518436718.4631,0
97,46.2,29961789440,1526518436918.3533,0
98,49.7,29964378112,1526518437118.5132,0
99,51.0,29964226560,1526518437318.5342,0
100,47.8,29965389824,1526518437518.3108,0
101,45.5,29989216256,1526518437718.5437,0
102,50.3,29987651584,1526518437918.4126,0
103,52.2,29958832128,1526518438118.7131,0
104,51.0,29959593984,1526518438318.569,0
105,53.2,29956767744,1526518438518.5571,0
106,52.9,29962280960,1526518438718.568,0
107,53.1,29956542464,1526518438918.508,0
108,49.0,29960675328,1526518439118.5818,0
109,51.3,29957738496,1526518439318.4756,0
110,50.9,29965250560,1526518439518.4932,0
111,50.6,29962407936,1526518439718.5835,0
112,46.8,29965946880,1526518439918.603,0
113,50.0,29964275712,1526518440118.5305,0
114,50.9,29964906496,1526518440318.5933,0
115,48.1,29966073856,1526518440518.5457,0
116,47.8,29968633856,1526518440718.596,0
117,48.4,29964914688,1526518440918.4758,0
118,61.2,29961142272,1526518441118.5095,0
119,63.1,29932797952,1526518441318.3528,0
120,57.5,29909983232,1526518441519.6912,0
121,53.2,29912690688,1526518441718.924,0
122,53.2,29910048768,1526518441919.998,0
123,54.7,29906841600,1526518442119.9265,0
124,53.5,29909659648,1526518442318.5596,0
125,52.9,29901443072,1526518442518.3694,0
126,47.7,29903507456,1526518442718.6104,0
127,49.1,29900369920,1526518442918.4182,0
128,49.4,29907111936,1526518443118.4814,0
129,50.0,29906190336,1526518443318.4326,0
130,50.9,29905498112,1526518443518.48,0
131,50.9,29907009536,1526518443718.4329,0
132,45.9,29909536768,1526518443918.5269,0
133,49.4,29903613952,1526518444118.4717,0
134,51.2,29903581184,1526518444318.421,0
135,48.4,29904580608,1526518444518.3696,0
136,50.3,29904748544,1526518444718.4504,0
137,50.3,29907771392,1526518444918.423,0
138,49.7,29906935808,1526518445118.4338,0
139,48.4,29908660224,1526518445318.485,0
140,51.2,29905887232,1526518445518.545,0
141,48.7,29908705280,1526518445718.1528,0
142,50.0,29908193280,1526518445918.2517,0
143,48.4,29905481728,1526518446118.535,0
144,49.4,29908570112,1526518446318.4172,0
145,47.5,29902786560,1526518446518.4648,0
146,48.4,29905133568,1526518446718.2864,0
147,48.1,29911195648,1526518446918.5132,0
148,50.3,29911142400,1526518447118.4995,0
149,50.0,29911019520,1526518447318.5068,0
150,48.7,29911130112,1526518447518.3572,0
151,59.2,29915615232,1526518447719.2131,0
152,58.6,29913530368,1526518447918.5564,0
153,57.7,29914202112,1526518448118.2156,0
154,54.7,29910441984,1526518448318.3755,0
155,56.3,29909934080,1526518448518.327,0
156,49.7,29910302720,1526518448718.202,0
157,49.4,29910777856,1526518448918.5735,0
158,49.4,29906640896,1526518449118.4702,0
159,50.3,29908787200,1526518449318.3616,0
160,51.3,29905391616,1526518449518.4077,0
161,49.7,29907644416,1526518449718.5332,0
162,49.1,29905825792,1526518449918.419,0
163,51.6,29901914112,1526518450118.6057,0
164,49.0,29912408064,1526518450318.4731,0
165,46.2,29908738048,1526518450518.3616,0
166,47.8,29906808832,1526518450718.354,0
167,48.7,29906841600,1526518450918.2903,0
168,44.7,29916131328,1526518451117.9866,0
169,44.9,29911224320,1526518451318.3616,0
170,48.8,29910728704,1526518451518.3848,0
171,48.1,29915230208,1526518451718.1936,0
172,47.5,29914865664,1526518451918.3408,0
173,46.8,29917249536,1526518452118.478,0
174,47.4,29916930048,1526518452318.48,0
175,49.0,29916766208,1526518452518.4275,0
176,48.1,29916848128,1526518452718.3906,0
177,49.7,29914689536,1526518452918.4666,0
178,46.8,29914628096,1526518453118.4788,0
179,48.7,29913178112,1526518453318.4883,0
180,47.2,29916778496,1526518453518.4485,0
181,54.5,29913792512,1526518453718.508,0
182,65.4,29910298624,1526518453918.4746,0
183,59.2,29911433216,1526518454118.531,0
184,55.1,29912981504,1526518454318.4768,0
185,56.0,29911433216,1526518454518.5076,0
186,48.7,29909700608,1526518454718.3767,0
187,47.8,29911605248,1526518454918.167,0
188,48.4,29910331392,1526518455118.3853,0
189,50.0,29907529728,1526518455318.4712,0
190,49.0,29906612224,1526518455518.4265,0
