cpu_load,mem_avail,timestamp
67.3,26100244480,1526055564304.2983
42.1,26098491392,1526055564504.2664
44.4,26097233920,1526055564702.3728
40.8,26093645824,1526055564902.2415
42.5,26094051328,1526055565102.017
41.7,26093920256,1526055565301.9658
41.8,26094510080,1526055565501.8372
40.9,26094243840,1526055565702.034
42.7,26094718976,1526055565901.7202
42.7,26093813760,1526055566101.8179
44.5,26094125056,1526055566301.645
41.6,26093985792,1526055566501.886
43.0,26093719552,1526055566701.9458
46.3,26094342144,1526055566901.9114
40.5,26094243840,1526055567101.9124
41.2,26093826048,1526055567301.9668
43.2,26094112768,1526055567501.6594
41.2,26093756416,1526055567701.8096
40.3,26093445120,1526055567901.855
46.0,26093772800,1526055568101.8396
44.8,26094321664,1526055568301.72
40.0,26093838336,1526055568501.827
43.9,26093268992,1526055568702.1372
44.2,26093654016,1526055568901.8308
44.0,26093727744,1526055569101.6184
43.6,26094264320,1526055569301.9866
40.7,26091704320,1526055569502.4272
46.3,26057875456,1526055569702.402
51.6,26053337088,1526055569902.3386
50.7,26053734400,1526055570102.0703
53.2,26053353472,1526055570301.868
49.4,26053701632,1526055570506.1873
50.3,26052816896,1526055570701.83
57.0,26053459968,1526055570905.4387
58.0,26053124096,1526055571105.8267
57.5,26053906432,1526055571301.95
51.7,26053591040,1526055571506.298
57.0,26053058560,1526055571701.8398
60.5,26052759552,1526055571901.9185
60.7,26052890624,1526055572101.8945
63.9,26053095424,1526055572303.7954
57.4,26054000640,1526055572502.871
60.3,26054004736,1526055572702.977
60.5,26049978368,1526055572905.8162
71.1,26050502656,1526055573101.9563
67.1,26049773568,1526055573305.7317
65.3,26049564672,1526055573506.3086
63.9,26050469888,1526055573703.8076
69.9,26045652992,1526055573910.2932
75.9,26048819200,1526055574105.7249
71.0,26049523712,1526055574301.9875
71.9,26046885888,1526055574505.7356
72.7,26051928064,1526055574705.708
76.9,26049699840,1526055574902.4116
81.2,26041909248,1526055575102.0322
85.1,26045145088,1526055575305.8838
78.8,26045218816,1526055575509.702
78.1,26041151488,1526055575707.106
74.3,26044162048,1526055575902.2957
85.5,26035347456,1526055576105.764
85.2,26036224000,1526055576303.6326
78.7,26041102336,1526055576502.0479
78.1,26040418304,1526055576703.6807
85.8,26043244544,1526055576902.1072
85.9,26037063680,1526055577102.2192
86.8,26036207616,1526055577304.53
83.8,26039824384,1526055577501.9087
86.0,26036158464,1526055577702.3223
82.8,26040180736,1526055577902.7043
90.4,26031247360,1526055578105.6692
91.4,26037043200,1526055578303.3616
90.0,26037157888,1526055578505.7283
91.5,26039631872,1526055578706.9353
91.6,26035638272,1526055578909.5845
96.8,26031149056,1526055579105.6558
90.1,26033651712,1526055579306.7678
93.1,26033037312,1526055579502.3328
91.0,26029244416,1526055579703.0144
89.6,26031833088,1526055579901.9714
81.9,26029101056,1526055580109.7083
84.2,26031501312,1526055580305.8079
83.9,26036793344,1526055580503.1555
94.3,26025848832,1526055580704.5278
92.4,26032668672,1526055580903.88
94.0,26029928448,1526055581104.676
93.3,26025185280,1526055581309.2444
92.0,26034274304,1526055581503.215
92.4,26037006336,1526055581702.421
94.9,26032762880,1526055581902.9333
93.9,26034147328,1526055582107.141
90.9,26031759360,1526055582302.329
97.6,26036948992,1526055582509.7166
89.7,26035658752,1526055582702.285
94.3,26038300672,1526055582902.398
95.1,26033655808,1526055583105.6697
