,cpu_load,mem_avail,timestamp,run,run_start_cutoff,run_end_cutoff
0,43.9,26197581824,1526055313675.5283,0,1526055328825.4666,1526055388017.6387
1,41.4,26194841600,1526055313875.2317,0,1526055328825.4666,1526055388017.6387
2,40.8,26194477056,1526055314074.313,0,1526055328825.4666,1526055388017.6387
3,41.4,26190368768,1526055314273.3086,0,1526055328825.4666,1526055388017.6387
4,39.3,26190389248,1526055314473.3833,0,1526055328825.4666,1526055388017.6387
5,42.0,26190413824,1526055314672.9937,0,1526055328825.4666,1526055388017.6387
6,42.9,26191577088,1526055314872.7114,0,1526055328825.4666,1526055388017.6387
7,43.7,26190196736,1526055315072.7888,0,1526055328825.4666,1526055388017.6387
8,42.8,26190901248,1526055315272.8425,0,1526055328825.4666,1526055388017.6387
9,41.7,26190614528,1526055315472.7092,0,1526055328825.4666,1526055388017.6387
10,40.7,26191024128,1526055315672.7168,0,1526055328825.4666,1526055388017.6387
11,40.9,26190045184,1526055315872.8289,0,1526055328825.4666,1526055388017.6387
12,40.9,26190958592,1526055316072.7356,0,1526055328825.4666,1526055388017.6387
13,43.9,26191228928,1526055316272.8633,0,1526055328825.4666,1526055388017.6387
14,45.3,26190110720,1526055316472.7786,0,1526055328825.4666,1526055388017.6387
15,43.1,26191024128,1526055316673.0376,0,1526055328825.4666,1526055388017.6387
16,40.1,26190290944,1526055316872.843,0,1526055328825.4666,1526055388017.6387
17,40.9,26191200256,1526055317072.8804,0,1526055328825.4666,1526055388017.6387
18,42.3,26190290944,1526055317272.9514,0,1526055328825.4666,1526055388017.6387
19,41.3,26190245888,1526055317473.0708,0,1526055328825.4666,1526055388017.6387
20,41.7,26190143488,1526055317672.7842,0,1526055328825.4666,1526055388017.6387
21,45.3,26190753792,1526055317872.8154,0,1526055328825.4666,1526055388017.6387
22,39.3,26190794752,1526055318073.0847,0,1526055328825.4666,1526055388017.6387
23,41.7,26190057472,1526055318273.1497,0,1526055328825.4666,1526055388017.6387
24,38.5,26190589952,1526055318472.7678,0,1526055328825.4666,1526055388017.6387
25,41.3,26190888960,1526055318672.6538,0,1526055328825.4666,1526055388017.6387
26,40.9,26190639104,1526055318872.7007,0,1526055328825.4666,1526055388017.6387
27,40.7,26191187968,1526055319073.1958,0,1526055328825.4666,1526055388017.6387
28,47.7,26151608320,1526055319277.3728,0,1526055328825.4666,1526055388017.6387
29,45.9,26148134912,1526055319472.9304,0,1526055328825.4666,1526055388017.6387
30,44.0,26146816000,1526055319673.799,0,1526055328825.4666,1526055388017.6387
31,47.6,26147987456,1526055319872.5723,0,1526055328825.4666,1526055388017.6387
32,51.0,26147065856,1526055320072.5442,0,1526055328825.4666,1526055388017.6387
33,48.3,26145263616,1526055320273.8823,0,1526055328825.4666,1526055388017.6387
34,58.6,26139672576,1526055320474.0264,0,1526055328825.4666,1526055388017.6387
35,60.4,26138083328,1526055320672.946,0,1526055328825.4666,1526055388017.6387
36,54.7,26139238400,1526055320873.5554,0,1526055328825.4666,1526055388017.6387
37,51.8,26138828800,1526055321072.8132,0,1526055328825.4666,1526055388017.6387
38,56.6,26136563712,1526055321273.9292,0,1526055328825.4666,1526055388017.6387
39,62.1,26129539072,1526055321473.108,0,1526055328825.4666,1526055388017.6387
40,62.4,26128908288,1526055321673.0215,0,1526055328825.4666,1526055388017.6387
41,61.0,26129854464,1526055321873.4724,0,1526055328825.4666,1526055388017.6387
42,58.3,26131578880,1526055322073.0327,0,1526055328825.4666,1526055388017.6387
43,59.2,26130612224,1526055322274.233,0,1526055328825.4666,1526055388017.6387
44,63.3,26123227136,1526055322473.9497,0,1526055328825.4666,1526055388017.6387
45,66.9,26121453568,1526055322674.659,0,1526055328825.4666,1526055388017.6387
46,64.7,26122919936,1526055322873.6768,0,1526055328825.4666,1526055388017.6387
47,63.7,26123296768,1526055323077.5461,0,1526055328825.4666,1526055388017.6387
48,61.5,26122772480,1526055323277.3726,0,1526055328825.4666,1526055388017.6387
49,68.1,26114682880,1526055323472.917,0,1526055328825.4666,1526055388017.6387
50,74.2,26114056192,1526055323677.9329,0,1526055328825.4666,1526055388017.6387
51,74.3,26110844928,1526055323872.8433,0,1526055328825.4666,1526055388017.6387
52,70.5,26111971328,1526055324073.3157,0,1526055328825.4666,1526055388017.6387
53,73.5,26112958464,1526055324273.2925,0,1526055328825.4666,1526055388017.6387
54,78.3,26105499648,1526055324477.5815,0,1526055328825.4666,1526055388017.6387
55,81.0,26101706752,1526055324679.9138,0,1526055328825.4666,1526055388017.6387
56,71.1,26103205888,1526055324876.8855,0,1526055328825.4666,1526055388017.6387
57,69.1,26101403648,1526055325077.3425,0,1526055328825.4666,1526055388017.6387
58,70.8,26099908608,1526055325273.554,0,1526055328825.4666,1526055388017.6387
59,74.0,26091941888,1526055325474.0864,0,1526055328825.4666,1526055388017.6387
60,76.9,26088894464,1526055325674.5964,0,1526055328825.4666,1526055388017.6387
61,78.6,26087530496,1526055325876.8245,0,1526055328825.4666,1526055388017.6387
62,78.8,26091896832,1526055326073.3916,0,1526055328825.4666,1526055388017.6387
63,80.9,26093703168,1526055326277.3618,0,1526055328825.4666,1526055388017.6387
64,86.4,26085216256,1526055326473.9536,0,1526055328825.4666,1526055388017.6387
65,85.0,26080169984,1526055326675.4402,0,1526055328825.4666,1526055388017.6387
66,85.4,26084700160,1526055326877.5469,0,1526055328825.4666,1526055388017.6387
67,85.4,26082643968,1526055327074.8733,0,1526055328825.4666,1526055388017.6387
68,85.4,26086739968,1526055327273.1477,0,1526055328825.4666,1526055388017.6387
69,84.6,26081337344,1526055327472.7,0,1526055328825.4666,1526055388017.6387
70,87.9,26080444416,1526055327677.479,0,1526055328825.4666,1526055388017.6387
71,86.5,26075213824,1526055327880.8481,0,1526055328825.4666,1526055388017.6387
72,87.7,26074673152,1526055328077.5425,0,1526055328825.4666,1526055388017.6387
73,87.9,26076037120,1526055328274.787,0,1526055328825.4666,1526055388017.6387
74,88.7,26068893696,1526055328476.3179,0,1526055328825.4666,1526055388017.6387
75,86.9,26066219008,1526055328679.739,0,1526055328825.4666,1526055388017.6387
76,88.5,26069147648,1526055328872.8535,0,1526055328825.4666,1526055388017.6387
77,89.8,26071547904,1526055329074.0642,0,1526055328825.4666,1526055388017.6387
78,90.1,26068168704,1526055329281.432,0,1526055328825.4666,1526055388017.6387
79,91.6,26063998976,1526055329474.3325,0,1526055328825.4666,1526055388017.6387
80,89.0,26065920000,1526055329677.4805,0,1526055328825.4666,1526055388017.6387
81,92.1,26064904192,1526055329873.85,0,1526055328825.4666,1526055388017.6387
82,87.2,26064162816,1526055330077.545,0,1526055328825.4666,1526055388017.6387
83,87.4,26065338368,1526055330275.8582,0,1526055328825.4666,1526055388017.6387
84,79.5,26063831040,1526055330476.5823,0,1526055328825.4666,1526055388017.6387
85,86.3,26062295040,1526055330673.4558,0,1526055328825.4666,1526055388017.6387
86,88.7,26069102592,1526055330872.941,0,1526055328825.4666,1526055388017.6387
87,89.3,26060500992,1526055331078.7058,0,1526055328825.4666,1526055388017.6387
88,90.7,26064072704,1526055331276.2104,0,1526055328825.4666,1526055388017.6387
89,90.1,26065002496,1526055331477.5288,0,1526055328825.4666,1526055388017.6387
90,95.5,26058805248,1526055331675.4614,0,1526055328825.4666,1526055388017.6387
91,94.3,26062897152,1526055331874.0967,0,1526055328825.4666,1526055388017.6387
92,88.8,26063802368,1526055332074.767,0,1526055328825.4666,1526055388017.6387
93,94.5,26059309056,1526055332281.3606,0,1526055328825.4666,1526055388017.6387
94,93.4,26059788288,1526055332473.3125,0,1526055328825.4666,1526055388017.6387
95,94.9,26059329536,1526055332674.0327,0,1526055328825.4666,1526055388017.6387
96,93.7,26059161600,1526055332873.3708,0,1526055328825.4666,1526055388017.6387
97,91.8,26055237632,1526055333073.1626,0,1526055328825.4666,1526055388017.6387
98,96.9,26057953280,1526055333273.1702,0,1526055328825.4666,1526055388017.6387
99,90.0,26088935424,1526055333473.8525,0,1526055328825.4666,1526055388017.6387
100,93.1,26083921920,1526055333677.5042,0,1526055328825.4666,1526055388017.6387
101,92.7,26085285888,1526055333873.2793,0,1526055328825.4666,1526055388017.6387
102,89.9,26090852352,1526055334073.4304,0,1526055328825.4666,1526055388017.6387
103,92.1,26082328576,1526055334273.9219,0,1526055328825.4666,1526055388017.6387
104,90.3,26085445632,1526055334474.054,0,1526055328825.4666,1526055388017.6387
105,85.8,26082480128,1526055334673.7666,0,1526055328825.4666,1526055388017.6387
106,89.5,26087833600,1526055334874.1897,0,1526055328825.4666,1526055388017.6387
107,92.9,26080956416,1526055335073.6545,0,1526055328825.4666,1526055388017.6387
108,94.2,26079657984,1526055335273.9604,0,1526055328825.4666,1526055388017.6387
109,85.4,26083000320,1526055335477.3945,0,1526055328825.4666,1526055388017.6387
110,89.4,26079887360,1526055335674.089,0,1526055328825.4666,1526055388017.6387
111,90.8,26080358400,1526055335873.063,0,1526055328825.4666,1526055388017.6387
112,94.5,26083319808,1526055336081.4631,0,1526055328825.4666,1526055388017.6387
113,91.9,26084835328,1526055336275.5483,0,1526055328825.4666,1526055388017.6387
114,90.6,26086854656,1526055336477.55,0,1526055328825.4666,1526055388017.6387
115,89.6,26082836480,1526055336675.9167,0,1526055328825.4666,1526055388017.6387
116,90.0,26085273600,1526055336877.5078,0,1526055328825.4666,1526055388017.6387
117,94.2,26079186944,1526055337075.9287,0,1526055328825.4666,1526055388017.6387
118,93.9,26081505280,1526055337277.454,0,1526055328825.4666,1526055388017.6387
119,90.8,26078433280,1526055337473.2195,0,1526055328825.4666,1526055388017.6387
120,91.4,26075590656,1526055337673.3188,0,1526055328825.4666,1526055388017.6387
121,90.2,26080075776,1526055337881.206,0,1526055328825.4666,1526055388017.6387
122,90.2,26081751040,1526055338077.5166,0,1526055328825.4666,1526055388017.6387
123,92.9,26079838208,1526055338273.2798,0,1526055328825.4666,1526055388017.6387
