cpu_load,mem_avail,timestamp
81.5,26021691392,1527271565472.5613
35.3,26016858112,1527271565672.3235
36.0,26018992128,1527271565869.4365
32.4,26018787328,1527271566069.4968
44.7,26014429184,1527271566269.3489
41.7,26010406912,1527271566469.468
42.2,26013782016,1527271566669.2434
45.8,26013724672,1527271566869.5369
50.7,26010341376,1527271567069.394
59.7,26009960448,1527271567269.2598
65.8,26008702976,1527271567472.7285
72.6,26008084480,1527271567672.6135
66.7,26006925312,1527271567869.3052
70.7,26006548480,1527271568069.3752
79.7,26002272256,1527271568269.5107
78.6,26005643264,1527271568469.439
81.5,25998716928,1527271568669.678
81.1,25998467072,1527271568869.3938
73.3,26005315584,1527271569070.1895
81.1,26001682432,1527271569269.4272
84.8,26002456576,1527271569470.588
79.1,26001649664,1527271569669.639
81.8,25999384576,1527271569872.7698
81.0,26001788928,1527271570069.6367
81.9,25997836288,1527271570272.6912
90.9,25999040512,1527271570469.917
93.0,26000834560,1527271570670.2346
97.0,25996259328,1527271570872.736
95.5,25995014144,1527271571069.5159
98.7,25995284480,1527271571269.528
99.4,25992851456,1527271571469.5671
100.0,25995517952,1527271571669.5906
99.4,25996800000,1527271571869.6995
98.8,25991835648,1527271572072.3066
96.2,25990406144,1527271572272.708
98.1,25995608064,1527271572472.7341
92.5,25991966720,1527271572672.7893
96.8,25990410240,1527271572872.709
97.5,25991385088,1527271573072.6833
92.9,25987665920,1527271573270.1465
93.7,25977942016,1527271573469.4067
97.5,25975734272,1527271573669.853
98.8,25979068416,1527271573869.64
98.1,25980780544,1527271574072.871
90.9,25984581632,1527271574272.771
98.1,25985380352,1527271574472.7803
97.5,25979637760,1527271574669.8718
97.5,25984417792,1527271574869.5496
97.5,25985507328,1527271575070.5408
98.7,25985638400,1527271575269.503
99.4,25986686976,1527271575471.391
98.7,25986285568,1527271575669.47
98.1,25993093120,1527271575869.966
100.0,25992617984,1527271576069.4485
99.4,25991802880,1527271576272.6514
100.0,25994047488,1527271576469.3342
99.4,25988747264,1527271576672.7725
100.0,25991000064,1527271576869.3394
97.6,25992503296,1527271577072.7217
99.4,25997000704,1527271577272.652
99.4,25999073280,1527271577469.5142
99.4,25990766592,1527271577669.656
98.7,25988468736,1527271577869.7327
98.8,25991671808,1527271578072.7034
98.7,25990676480,1527271578272.769
96.1,25977110528,1527271578470.025
100.0,25978691584,1527271578669.5205
100.0,25977069568,1527271578869.5989
100.0,25978707968,1527271579069.7036
100.0,25981612032,1527271579269.4878
99.4,25976655872,1527271579469.6208
99.4,25972654080,1527271579669.7046
100.0,25977262080,1527271579869.7043
100.0,25975545856,1527271580069.7654
100.0,25967984640,1527271580269.7295
99.4,25972772864,1527271580469.6147
100.0,25979281408,1527271580669.7688
99.4,25982787584,1527271580869.543
99.4,25984782336,1527271581069.9802
99.4,25981140992,1527271581269.7202
99.4,25979887616,1527271581470.0322
99.4,25978855424,1527271581669.9268
99.4,25978220544,1527271581869.5593
98.1,25982033920,1527271582070.1013
100.0,25979138048,1527271582272.7224
100.0,25977126912,1527271582469.9653
99.4,25980084224,1527271582670.4995
100.0,25977753600,1527271582870.252
78.0,25979408384,1527271583069.3296
93.7,25979998208,1527271583270.4363
98.7,25976016896,1527271583471.4128
99.4,25987715072,1527271583669.5315
98.1,25985368064,1527271583870.4016
98.7,25988702208,1527271584069.553
99.4,25988005888,1527271584270.7656
99.4,25985490944,1527271584472.7053
98.7,25988476928,1527271584670.7717
99.4,25990524928,1527271584870.955
100.0,25988591616,1527271585069.6648
100.0,25989931008,1527271585269.8467
99.4,25993756672,1527271585469.9438
100.0,25988694016,1527271585669.5598
99.4,25990049792,1527271585869.3503
100.0,25996271616,1527271586069.4058
99.4,25997705216,1527271586272.6873
99.4,25986252800,1527271586469.5664
99.4,25990725632,1527271586669.6653
100.0,25991340032,1527271586869.5293
99.4,25990795264,1527271587070.0015
91.3,25988608000,1527271587272.7114
99.4,25983979520,1527271587470.1655
99.4,25989685248,1527271587669.8174
99.4,25976508416,1527271587872.7632
100.0,25984335872,1527271588070.033
100.0,25990033408,1527271588269.3386
100.0,25987715072,1527271588469.7715
100.0,26001248256,1527271588669.3333
99.4,25986793472,1527271588869.3948
98.7,25993551872,1527271589069.5986
100.0,25993449472,1527271589269.6492
98.7,25991086080,1527271589470.402
99.4,25983602688,1527271589672.7388
98.7,25996152832,1527271589869.519
98.7,25990815744,1527271590069.5967
98.7,25991499776,1527271590269.8044
99.4,25989828608,1527271590469.4946
99.4,25989566464,1527271590669.802
100.0,25995710464,1527271590869.647
