cpu_load,mem_avail,timestamp
32.3,29455507456,1526379665388.6492
27.5,29454151680,1526379665587.9912
26.3,29453590528,1526379665785.6545
27.0,29453107200,1526379665985.5137
23.8,29452529664,1526379666185.5063
28.1,29454348288,1526379666385.5496
28.2,29453885440,1526379666585.345
26.1,29452918784,1526379666785.6702
24.7,29453201408,1526379666985.534
24.7,29453352960,1526379667185.3477
26.3,29454147584,1526379667385.5474
25.5,29453537280,1526379667585.7136
27.2,29453950976,1526379667785.201
25.2,29453594624,1526379667985.423
25.2,29453369344,1526379668185.4146
26.1,29453651968,1526379668385.5493
28.0,29453426688,1526379668585.5159
28.0,29453578240,1526379668785.543
27.8,29452812288,1526379668986.0205
27.3,29453541376,1526379669185.5874
29.6,29454352384,1526379669385.5269
30.0,29452709888,1526379669585.4756
28.0,29454139392,1526379669785.593
27.3,29452386304,1526379669985.9863
28.3,29453668352,1526379670186.1912
27.7,29452992512,1526379670385.4604
25.8,29452660736,1526379670585.505
25.5,29453627392,1526379670785.4226
27.5,29452685312,1526379670985.5552
27.0,29453795328,1526379671185.3977
28.6,29452009472,1526379671385.4326
27.5,29453283328,1526379671585.4878
25.6,29453086720,1526379671785.6787
30.3,29452345344,1526379671985.4983
37.6,29451616256,1526379672185.403
38.5,29448978432,1526379672385.375
38.9,29449932800,1526379672585.304
36.3,29449203712,1526379672785.6738
37.3,29452750848,1526379672986.2908
35.5,29452652544,1526379673185.5867
36.5,29449330688,1526379673385.6514
32.5,29453729792,1526379673585.302
32.5,29452263424,1526379673785.2349
32.7,29452050432,1526379673985.6162
30.8,29451952128,1526379674185.3096
32.3,29452570624,1526379674385.5842
29.7,29451943936,1526379674585.8484
32.3,29451890688,1526379674785.4934
31.4,29453328384,1526379674985.4246
29.7,29453742080,1526379675185.6875
30.8,29452009472,1526379675386.0781
31.2,29452566528,1526379675585.6116
30.1,29453213696,1526379675785.6648
27.7,29452394496,1526379675985.4133
37.6,29449007104,1526379676185.219
40.1,29448069120,1526379676385.4104
30.9,29451726848,1526379676585.7004
37.6,29450977280,1526379676785.686
39.3,29449854976,1526379676985.578
34.9,29452210176,1526379677185.8037
34.0,29449121792,1526379677385.4893
40.2,29453860864,1526379677586.094
34.6,29450514432,1526379677785.57
33.7,29450764288,1526379677985.4294
31.8,29450551296,1526379678185.6313
29.0,29450584064,1526379678385.4678
27.6,29450489856,1526379678585.5225
31.9,29452271616,1526379678785.2524
