cpu_load,mem_avail,timestamp
5.4,30982111232,1526546126497.8137
0.0,30981603328,1526546126697.248
0.6,30981603328,1526546126895.3362
1.9,30981603328,1526546127095.3438
0.6,30981476352,1526546127295.214
1.3,30980853760,1526546127495.3987
1.2,30980853760,1526546127695.07
0.6,30980853760,1526546127895.0737
1.3,30980853760,1526546128095.1038
0.6,30980853760,1526546128295.2922
0.6,30980853760,1526546128495.3835
0.6,30980857856,1526546128695.2766
1.9,30980857856,1526546128895.2449
1.3,30980734976,1526546129095.436
0.6,30980734976,1526546129295.2659
1.9,30980734976,1526546129495.3743
0.6,30980608000,1526546129695.3748
1.9,30980608000,1526546129895.3186
2.5,30980481024,1526546130095.2502
2.5,30980481024,1526546130295.1172
0.6,30980481024,1526546130495.3147
1.3,30980481024,1526546130695.114
0.6,30980481024,1526546130895.2935
1.9,30980481024,1526546131095.415
0.6,30980481024,1526546131295.3584
0.6,30980481024,1526546131495.3838
0.6,30980481024,1526546131695.4565
2.5,30980227072,1526546131895.2097
1.3,30980227072,1526546132095.0786
0.6,30980100096,1526546132295.314
0.6,30980100096,1526546132495.293
1.2,30980100096,1526546132695.4468
3.8,30975807488,1526546132895.7231
9.4,30975840256,1526546133095.8948
11.1,30975905792,1526546133295.6675
9.9,30975750144,1526546133495.5405
8.9,30975692800,1526546133695.69
9.9,30975643648,1526546133895.7268
8.3,30975651840,1526546134095.7761
8.2,30975651840,1526546134295.5415
7.4,30975545344,1526546134495.5654
6.2,30975373312,1526546134695.4294
5.6,30975307776,1526546134895.5913
3.8,30975242240,1526546135095.6255
4.4,30975049728,1526546135295.472
4.4,30975016960,1526546135495.6282
5.6,30975242240,1526546135695.48
5.0,30975184896,1526546135895.439
5.6,30975152128,1526546136095.5713
3.8,30975094784,1526546136295.5542
5.0,30975291392,1526546136495.6787
3.8,30975070208,1526546136695.5889
5.6,30975008768,1526546136895.7336
9.4,30975102976,1526546137095.79
9.9,30977789952,1526546137295.8135
12.5,30975107072,1526546137495.722
13.0,30975594496,1526546137695.7778
12.4,30975635456,1526546137895.8909
11.9,30977921024,1526546138095.6558
4.4,30978097152,1526546138295.6125
6.9,30974672896,1526546138495.5383
6.2,30974636032,1526546138695.7568
5.7,30976733184,1526546138895.6333
2.5,30976667648,1526546139095.6182
4.3,30976634880,1526546139295.4531
3.2,30978093056,1526546139495.5293
3.8,30978199552,1526546139695.5085
3.1,30978207744,1526546139895.5593
3.2,30978211840,1526546140095.7268
2.5,30978056192,1526546140295.653
5.0,30978056192,1526546140495.5818
6.1,30977966080,1526546140695.5747
3.8,30977949696,1526546140895.6865
5.0,30977884160,1526546141095.689
6.2,30977691648,1526546141295.752
8.6,30974808064,1526546141495.6309
6.2,30974685184,1526546141695.7703
6.3,30974722048,1526546141895.6
3.8,30974603264,1526546142095.6738
8.0,30976512000,1526546142295.5864
7.5,30976389120,1526546142495.6426
6.3,30976282624,1526546142695.7627
3.8,30976286720,1526546142895.567
3.2,30976225280,1526546143095.5178
8.0,30976925696,1526546143295.3733
6.9,30976651264,1526546143495.6345
5.7,30976942080,1526546143695.5435
6.2,30976958464,1526546143895.6975
5.7,30976835584,1526546144095.8992
5.7,30976712704,1526546144295.567
6.2,30974500864,1526546144495.749
5.6,30976790528,1526546144695.6548
5.6,30977048576,1526546144895.72
11.3,30975143936,1526546145095.7002
11.9,30974959616,1526546145295.6995
12.3,30976888832,1526546145495.7468
