cpu_load,mem_avail,timestamp
30.0,29371215872,1526416002164.2712
28.0,29371396096,1526416002364.171
27.2,29370044416,1526416002561.505
26.6,29370109952,1526416002761.3955
25.6,29370351616,1526416002961.2817
28.4,29370630144,1526416003162.0957
29.3,29369602048,1526416003361.4941
24.2,29370712064,1526416003561.31
25.9,29370757120,1526416003761.609
25.8,29370150912,1526416003961.364
27.5,29369671680,1526416004161.7266
25.2,29370970112,1526416004361.6946
29.7,29369982976,1526416004561.3967
25.5,29369548800,1526416004761.9553
26.6,29370621952,1526416004961.4888
26.1,29369122816,1526416005161.6409
29.3,29369176064,1526416005361.2856
27.5,29369597952,1526416005561.5227
27.3,29370241024,1526416005761.8691
23.5,29369761792,1526416005961.447
25.2,29369663488,1526416006161.3257
28.8,29370961920,1526416006361.4976
25.2,29369974784,1526416006561.4988
27.8,29368860672,1526416006761.4734
26.4,29369991168,1526416006961.5884
26.1,29369733120,1526416007161.6282
30.1,29370224640,1526416007361.471
27.5,29370015744,1526416007561.2524
27.0,29369970688,1526416007761.4275
27.5,29369851904,1526416007961.26
25.2,29369344000,1526416008161.468
25.2,29370003456,1526416008361.4158
25.9,29369905152,1526416008561.404
24.7,29371211776,1526416008761.4915
26.6,29370597376,1526416008961.5479
26.6,29369196544,1526416009161.8545
31.8,29366308864,1526416009361.4941
39.8,29365850112,1526416009561.421
30.8,29369700352,1526416009761.295
28.0,29369593856,1526416009961.5686
25.6,29370052608,1526416010161.3926
26.6,29370085376,1526416010361.658
25.2,29369692160,1526416010561.793
26.1,29365477376,1526416010761.3662
42.3,29366837248,1526416010961.7485
40.1,29370773504,1526416011161.4944
28.8,29369618432,1526416011361.3252
27.0,29370728448,1526416011561.4026
28.2,29369880576,1526416011761.409
26.4,29370159104,1526416011961.6523
24.2,29375139840,1526416012161.8276
31.0,29374603264,1526416012361.178
31.9,29374357504,1526416012561.585
27.0,29375148032,1526416012761.4478
27.0,29375270912,1526416012961.3958
27.7,29373812736,1526416013161.312
29.3,29374234624,1526416013361.665
26.6,29374492672,1526416013561.4922
26.9,29375086592,1526416013761.5327
25.6,29374853120,1526416013961.7207
32.3,29370970112,1526416014161.5237
36.9,29370740736,1526416014361.7122
28.8,29373988864,1526416014561.506
26.1,29374918656,1526416014761.6018
27.2,29373935616,1526416014961.5261
26.1,29373624320,1526416015161.7427
27.8,29374312448,1526416015361.6738
25.2,29374660608,1526416015561.6626
26.0,29374676992,1526416015761.2827
28.7,29374578688,1526416015961.2227
28.9,29371846656,1526416016161.4358
38.3,29370728448,1526416016361.5894
33.5,29374189568,1526416016561.5103
28.8,29373972480,1526416016761.4294
25.6,29375049728,1526416016961.562
28.4,29373890560,1526416017161.5908
27.5,29374943232,1526416017361.5576
25.5,29374992384,1526416017561.8591
27.0,29374922752,1526416017761.5557
26.6,29375082496,1526416017961.446
25.0,29374427136,1526416018161.38
27.0,29375250432,1526416018361.8777
29.4,29374717952,1526416018561.4495
24.2,29374668800,1526416018761.5906
27.5,29375070208,1526416018961.4521
26.6,29374840832,1526416019161.3152
28.0,29374988288,1526416019361.8262
28.1,29374476288,1526416019561.6155
38.3,29374840832,1526416019761.2036
25.0,29373853696,1526416019961.943
27.2,29373751296,1526416020161.3027
28.4,29374668800,1526416020361.4832
27.5,29374828544,1526416020561.8936
28.0,29374025728,1526416020761.47
28.0,29374803968,1526416020961.4404
23.7,29374205952,1526416021161.6958
28.0,29374017536,1526416021361.3594
33.1,29374599168,1526416021561.3044
30.6,29374390272,1526416021761.7122
28.6,29374050304,1526416021961.4736
26.6,29374824448,1526416022161.6306
27.5,29374193664,1526416022361.2407
26.9,29374869504,1526416022561.3052
30.1,29374341120,1526416022761.523
32.1,29374730240,1526416022961.681
31.9,29375242240,1526416023161.66
28.5,29374586880,1526416023361.5195
26.6,29374169088,1526416023561.4639
27.5,29374255104,1526416023761.4224
27.5,29374791680,1526416023961.3467
25.9,29374693376,1526416024161.7249
25.6,29374832640,1526416024361.729
27.5,29374099456,1526416024561.324
26.4,29375012864,1526416024761.3618
30.8,29374201856,1526416024961.661
