,cpu_load,mem_avail,timestamp,run
0,34.2,29368565760,1526410284167.3855,0
1,33.5,29368221696,1526410284367.4893,0
2,35.0,29368127488,1526410284567.6816,0
3,32.7,29369163776,1526410284767.4375,0
4,28.6,29368909824,1526410284968.3318,0
5,35.8,29368532992,1526410285167.2976,0
6,31.2,29368713216,1526410285367.6726,0
7,32.0,29369188352,1526410285567.4658,0
8,31.8,29367947264,1526410285767.223,0
9,33.3,29368750080,1526410285967.7488,0
10,30.8,29369094144,1526410286167.7097,0
11,38.8,29368365056,1526410286367.5256,0
12,28.8,29368008704,1526410286567.84,0
13,32.3,29368053760,1526410286767.9373,0
14,39.5,29366632448,1526410286967.311,0
15,32.7,29368606720,1526410287167.4414,0
16,29.6,29367201792,1526410287367.64,0
17,41.0,29364953088,1526410287567.5093,0
18,32.1,29366370304,1526410287767.6226,0
19,38.2,29365125120,1526410287967.5586,0
20,36.3,29366898688,1526410288167.319,0
21,37.4,29369597952,1526410288367.4626,0
22,35.8,29369028608,1526410288567.5325,0
23,36.6,29368033280,1526410288767.4546,0
24,32.5,29368774656,1526410288967.5728,0
25,33.1,29401137152,1526410289167.689,0
26,32.3,29401427968,1526410289367.155,0
27,28.4,29402701824,1526410289567.6042,0
28,31.1,29399986176,1526410289767.7476,0
29,29.2,29400031232,1526410289967.8494,0
30,32.1,29400563712,1526410290167.4282,0
31,33.3,29400322048,1526410290367.3848,0
32,28.3,29399257088,1526410290567.6367,0
33,29.9,29399470080,1526410290767.3137,0
34,30.6,29399842816,1526410290967.6438,0
35,32.3,29398732800,1526410291167.5315,0
36,33.5,29399650304,1526410291367.3782,0
37,36.4,29399756800,1526410291567.5947,0
38,30.7,29400092672,1526410291767.2822,0
39,32.5,29398597632,1526410291967.5818,0
40,34.4,29401559040,1526410292167.8372,0
41,34.2,29401071616,1526410292367.6035,0
42,34.4,29401485312,1526410292567.606,0
43,34.0,29400174592,1526410292767.4172,0
44,36.9,29399302144,1526410292967.6091,0
45,32.7,29401640960,1526410293167.4722,0
46,34.2,29402206208,1526410293367.431,0
47,34.4,29401284608,1526410293567.85,0
48,35.2,29402124288,1526410293767.696,0
49,30.3,29401772032,1526410293967.4104,0
50,31.4,29401509888,1526410294167.3098,0
51,26.0,29402136576,1526410294367.3345,0
52,32.1,29402624000,1526410294567.56,0
53,32.3,29401378816,1526410294767.7107,0
54,32.3,29401894912,1526410294967.5845,0
55,30.3,29402198016,1526410295167.2383,0
56,31.2,29401518080,1526410295367.2686,0
