cpu_load,mem_avail,timestamp
6.8,23801081856,1539360859559.5
1.9,23800700928,1539360859759.6794
0.6,23800700928,1539360859957.6377
1.9,23800446976,1539360860157.1106
0.6,23800446976,1539360860357.7903
3.1,23800283136,1539360860560.267
1.3,23800283136,1539360860757.2817
1.9,23800422400,1539360860957.314
1.2,23800422400,1539360861157.449
1.3,23800320000,1539360861357.4387
1.3,23800320000,1539360861557.5896
1.3,23800320000,1539360861757.377
0.6,23800446976,1539360861957.0093
1.2,23800446976,1539360862157.3015
1.3,23800320000,1539360862357.4146
1.9,23800156160,1539360862557.3997
1.9,23800156160,1539360862757.4436
0.6,23800295424,1539360862957.6804
1.9,23800422400,1539360863157.7952
1.2,23800422400,1539360863357.695
0.6,23800193024,1539360863558.6387
1.3,23799812096,1539360863757.3027
7.6,23799717888,1539360863957.406
11.1,23799783424,1539360864157.5327
11.3,23799750656,1539360864357.4863
10.1,23799656448,1539360864557.2993
11.7,23799590912,1539360864757.727
9.0,23799566336,1539360864957.2463
10.1,23799308288,1539360865157.36
8.7,23799308288,1539360865357.715
4.5,23799787520,1539360865557.3628
4.4,23799885824,1539360865757.3699
5.1,23799562240,1539360865957.531
4.4,23799627776,1539360866157.2063
4.4,23799402496,1539360866357.274
5.6,23799336960,1539360866557.124
5.0,23799312384,1539360866757.2373
6.3,23799119872,1539360866957.205
5.0,23799095296,1539360867157.0945
8.7,23799123968,1539360867357.5352
5.0,23799123968,1539360867557.5752
5.0,23799148544,1539360867757.1677
6.9,23798984704,1539360867957.725
12.0,23795961856,1539360868157.081
12.6,23795707904,1539360868357.2095
13.8,23795707904,1539360868557.0886
13.1,23795748864,1539360868757.5635
13.2,23798960128,1539360868957.191
10.6,23795920896,1539360869157.543
10.6,23799046144,1539360869357.5256
6.9,23797616640,1539360869557.4585
7.5,23797551104,1539360869757.2744
5.7,23797252096,1539360869957.284
3.8,23797059584,1539360870157.5264
5.0,23798239232,1539360870357.229
4.4,23798239232,1539360870557.3235
3.2,23798239232,1539360870757.0415
3.8,23798095872,1539360870957.6108
3.2,23797850112,1539360871157.754
3.8,23798349824,1539360871357.5212
6.7,23798448128,1539360871557.2202
4.4,23798456320,1539360871757.43
6.3,23798489088,1539360871957.2012
5.7,23798489088,1539360872157.2402
8.7,23796072448,1539360872357.2024
6.9,23796072448,1539360872557.308
6.3,23795744768,1539360872757.6462
5.7,23795789824,1539360872957.034
5.0,23797018624,1539360873157.4065
8.1,23796895744,1539360873357.8025
7.5,23796899840,1539360873557.2798
6.3,23796772864,1539360873757.6096
6.8,23796944896,1539360873957.5166
5.7,23797047296,1539360874157.6875
7.5,23796559872,1539360874357.7122
6.9,23796625408,1539360874557.5002
6.3,23796715520,1539360874757.643
5.1,23797059584,1539360874957.811
6.3,23797157888,1539360875157.1184
6.9,23797067776,1539360875357.2505
5.1,23796629504,1539360875556.978
7.5,23796662272,1539360875757.009
8.9,23794757632,1539360875956.9426
11.3,23797977088,1539360876156.9731
16.1,23793328128,1539360876357.6375
13.8,23793963008,1539360876557.2383
12.7,23793987584,1539360876757.5703
14.3,23793983488,1539360876957.3809
12.6,23793983488,1539360877157.4094
13.8,23797112832,1539360877357.871
10.1,23795810304,1539360877557.478
5.0,23793397760,1539360877757.4502
6.9,23795015680,1539360877956.991
6.2,23795744768,1539360878157.0168
4.4,23795556352,1539360878357.5066
5.0,23795462144,1539360878557.5786
5.6,23796703232,1539360878756.9578
4.5,23796736000,1539360878956.8813
5.7,23796781056,1539360879157.4194
5.7,23796617216,1539360879357.3867
5.0,23796584448,1539360879557.9077
5.0,23796518912,1539360879757.4475
5.7,23796277248,1539360879957.7588
6.3,23796338688,1539360880157.976
6.9,23796436992,1539360880359.831
5.8,23796469760,1539360880558.2302
7.5,23796613120,1539360880757.854
8.1,23795597312,1539360880957.6758
7.6,23795630080,1539360881157.49
8.2,23795572736,1539360881357.5598
8.8,23795638272,1539360881557.667
10.0,23796686848,1539360881757.7407
8.1,23795511296,1539360881957.4998
7.6,23795478528,1539360882157.4539
8.1,23795605504,1539360882357.5076
8.1,23795671040,1539360882557.5625
5.1,23795568640,1539360882757.5579
5.7,23795634176,1539360882957.6243
5.6,23795666944,1539360883157.2385
5.6,23795449856,1539360883357.5566
6.2,23795548160,1539360883557.497
6.2,23795462144,1539360883757.466
4.4,23795298304,1539360883957.8047
4.4,23795593216,1539360884157.7344
5.6,23795748864,1539360884357.3857
5.7,23795912704,1539360884557.2493
5.0,23795912704,1539360884757.161
5.7,23796060160,1539360884957.4995
8.1,23795396608,1539360885157.7666
5.1,23795187712,1539360885357.4026
8.8,23793446912,1539360885557.7283
13.2,23796875264,1539360885757.4216
12.0,23793647616,1539360885957.3467
