,cpu_load,mem_avail,timestamp,run
0,5.1,22985457664,1530621547344.702,0
1,8.1,22985457664,1530621547544.9475,0
2,11.9,22986727424,1530621547744.8542,0
3,9.3,22984863744,1530621547945.0564,0
4,8.8,22987022336,1530621548144.8977,0
5,12.5,22985080832,1530621548345.0132,0
6,6.3,22983708672,1530621548544.975,0
7,13.3,22986821632,1530621548744.8723,0
8,6.8,22986788864,1530621548945.1648,0
9,4.4,22986153984,1530621549145.0215,0
10,5.7,22983696384,1530621549344.9104,0
11,3.2,22983876608,1530621549545.0603,0
12,3.1,22984089600,1530621549744.9634,0
13,5.7,22983843840,1530621549944.8596,0
14,4.4,22983876608,1530621550144.8098,0
15,4.4,22983634944,1530621550344.8994,0
16,3.2,22984568832,1530621550545.0518,0
17,3.8,22984433664,1530621550745.1826,0
18,3.2,22984400896,1530621550945.1606,0
19,4.4,22984335360,1530621551144.9983,0
20,5.0,22984269824,1530621551345.0269,0
21,4.4,22984691712,1530621551544.775,0
22,5.0,22984654848,1530621551744.9282,0
23,6.9,22984654848,1530621551945.4292,0
24,7.5,22984687616,1530621552145.0522,0
25,5.7,22984486912,1530621552345.0645,0
26,5.7,22984265728,1530621552544.8528,0
27,5.7,22992560128,1530621552745.2727,0
28,5.7,22992433152,1530621552945.0054,0
29,5.7,22992400384,1530621553144.6853,0
30,5.7,22992437248,1530621553344.9868,0
31,3.8,22992429056,1530621553545.3066,0
32,4.4,22992302080,1530621553744.4658,0
33,6.9,22992302080,1530621553944.825,0
34,10.8,22992302080,1530621554144.8457,0
35,5.7,22991691776,1530621554344.715,0
36,5.1,22992019456,1530621554545.0098,0
37,5.1,22992158720,1530621554745.3809,0
38,6.3,22992285696,1530621554944.913,0
39,5.7,22992539648,1530621555144.874,0
40,7.5,22992510976,1530621555344.9258,0
41,7.6,22992510976,1530621555544.9082,0
42,11.5,22995431424,1530621555744.9978,0
43,14.3,22993051648,1530621555945.0588,0
44,13.2,22993117184,1530621556145.0537,0
45,18.4,22992543744,1530621556344.8125,0
46,14.9,22994829312,1530621556544.8418,0
47,8.9,22992842752,1530621556744.9695,0
48,18.2,22995083264,1530621556945.05,0
49,8.8,22992330752,1530621557145.301,0
50,12.7,22983663616,1530621557344.985,0
51,9.6,22992150528,1530621557544.7756,0
52,4.5,22992023552,1530621557744.7195,0
53,5.7,22991990784,1530621557944.9924,0
54,3.8,22992023552,1530621558144.954,0
55,6.5,22991876096,1530621558344.9734,0
56,5.8,22989369344,1530621558545.24,0
57,18.4,22987898880,1530621558744.8708,0
58,14.6,22954065920,1530621558945.7832,0
59,8.9,22954065920,1530621559145.1323,0
60,22.9,22953938944,1530621559345.1882,0
61,31.4,22953652224,1530621559545.681,0
62,30.8,22953897984,1530621559745.1018,0
63,11.9,22949634048,1530621559945.2454,0
64,11.4,22953807872,1530621560144.9404,0
65,6.9,22953713664,1530621560345.2126,0
66,8.7,22953680896,1530621560545.3655,0
67,6.4,22953648128,1530621560745.285,0
68,6.4,22953639936,1530621560945.0986,0
69,7.5,22953660416,1530621561145.0735,0
70,8.2,22953660416,1530621561345.384,0
71,7.0,22953660416,1530621561545.0105,0
72,5.1,22953660416,1530621561744.8806,0
73,7.6,22955413504,1530621561945.1963,0
74,5.7,22955413504,1530621562145.0442,0
75,5.7,22955425792,1530621562344.86,0
76,6.3,22955491328,1530621562545.2686,0
77,3.8,22955368448,1530621562745.2444,0
78,5.7,22955302912,1530621562944.8257,0
79,3.2,22955237376,1530621563145.0125,0
80,3.8,22955171840,1530621563345.1458,0
81,7.5,22955122688,1530621563544.816,0
82,7.6,22955302912,1530621563744.825,0
83,6.2,22955180032,1530621563944.9614,0
84,4.4,22955114496,1530621564144.68,0
