cpu_load,mem_avail,timestamp
18.4,22999560192,1530624625845.3325
13.5,22998679552,1530624626045.434
17.1,22998679552,1530624626242.945
14.5,22998679552,1530624626443.0366
13.9,22998446080,1530624626642.9084
15.5,22998376448,1530624626842.8323
15.0,22998376448,1530624627043.1943
13.4,22998380544,1530624627243.0952
13.9,22998380544,1530624627443.0815
14.5,22998323200,1530624627642.7815
14.7,22998323200,1530624627842.6218
15.0,22998323200,1530624628043.1938
13.9,22998323200,1530624628243.0334
15.1,22998323200,1530624628443.0503
20.3,22997909504,1530624628644.2024
20.0,22997925888,1530624628843.2063
16.7,22997925888,1530624629043.2705
14.0,22997798912,1530624629243.0222
15.5,22997798912,1530624629442.9998
15.8,22997577728,1530624629643.2683
15.3,22997577728,1530624629842.9675
15.5,22997585920,1530624630043.0972
16.4,22997458944,1530624630242.6528
13.9,22997458944,1530624630443.1882
14.6,22997458944,1530624630643.2852
25.8,22997467136,1530624630843.9492
20.8,22997467136,1530624631042.7642
18.5,22998364160,1530624631242.4844
15.3,22998364160,1530624631442.311
15.8,22998237184,1530624631642.4326
20.5,22998175744,1530624631842.8552
15.9,22998183936,1530624632042.4546
20.4,22998433792,1530624632242.7437
15.9,22998433792,1530624632442.5188
12.9,22998433792,1530624632642.617
14.0,22998401024,1530624632842.7974
15.6,22998147072,1530624633042.7842
15.2,22998147072,1530624633242.701
18.2,22995480576,1530624633442.927
23.3,22995103744,1530624633643.4395
22.8,22995230720,1530624633842.697
14.0,22995230720,1530624634043.0984
19.6,22995230720,1530624634243.0256
21.1,22995230720,1530624634443.3796
17.7,22995075072,1530624634642.7566
15.6,22994915328,1530624634843.2322
14.1,22991826944,1530624635042.473
15.5,22991794176,1530624635242.546
16.1,22991601664,1530624635443.1504
16.8,22991720448,1530624635642.923
17.5,22991364096,1530624635843.0334
17.0,22991298560,1530624636042.4866
16.4,22991265792,1530624636243.1511
17.5,22991048704,1530624636442.981
18.1,22991372288,1530624636642.69
15.7,22991568896,1530624636843.2114
