,cpu_load,mem_avail,timestamp,run
0,32.9,22871011328,1530624246371.7468,0
1,35.5,22871101440,1530624246571.256,0
2,27.2,22878621696,1530624246771.4512,0
3,21.4,22878818304,1530624246969.7695,0
4,20.1,22888386560,1530624247169.5134,0
5,22.0,22888390656,1530624247369.7988,0
6,24.1,22888189952,1530624247569.4197,0
7,22.0,22888210432,1530624247769.5598,0
8,22.9,22888136704,1530624247969.3933,0
9,29.2,22883753984,1530624248170.2966,0
10,20.0,22886674432,1530624248369.6062,0
11,18.6,22886854656,1530624248569.5283,0
12,20.9,22886866944,1530624248769.8809,0
13,21.3,22886801408,1530624248969.9424,0
14,22.6,22886563840,1530624249169.475,0
15,24.1,22886625280,1530624249369.9119,0
16,20.5,22887272448,1530624249569.9775,0
17,18.4,22887288832,1530624249770.6743,0
18,22.6,22889263104,1530624249970.0632,0
19,20.4,22889263104,1530624250170.0088,0
20,21.0,22889263104,1530624250370.6453,0
21,21.4,22889193472,1530624250569.439,0
22,25.2,22889463808,1530624250769.6465,0
23,23.9,22887309312,1530624250969.4998,0
24,22.0,22887415808,1530624251169.8433,0
25,34.4,22882631680,1530624251369.6482,0
26,42.9,22877532160,1530624251569.6843,0
27,27.3,22877532160,1530624251770.1382,0
28,29.2,22876971008,1530624251969.623,0
29,26.1,22878552064,1530624252170.4302,0
30,19.4,22881591296,1530624252369.1812,0
31,18.7,22883049472,1530624252570.208,0
32,17.6,22887202816,1530624252770.0166,0
33,26.8,22885150720,1530624252969.376,0
34,17.9,22884986880,1530624253169.3225,0
35,21.6,22885253120,1530624253369.723,0
36,19.6,22885347328,1530624253569.1584,0
37,26.2,22883000320,1530624253769.5603,0
38,18.1,22883016704,1530624253969.8933,0
39,18.8,22883270656,1530624254169.271,0
40,25.6,22881366016,1530624254368.907,0
41,21.4,22882627584,1530624254569.6245,0
42,22.6,22881562624,1530624254769.2268,0
43,19.2,22881370112,1530624254969.201,0
44,21.3,22881398784,1530624255169.311,0
45,35.5,22875201536,1530624255369.4646,0
46,33.1,22879297536,1530624255569.6863,0
47,26.9,22881636352,1530624255769.7815,0
48,33.8,22879334400,1530624255969.2185,0
49,31.9,22878953472,1530624256169.4597,0
50,24.1,22879453184,1530624256369.8376,0
51,28.0,22879293440,1530624256569.1565,0
52,35.2,22878973952,1530624256769.887,0
53,24.5,22878900224,1530624256969.2605,0
54,23.3,22880772096,1530624257169.1587,0
55,21.7,22878138368,1530624257369.595,0
56,20.1,22877794304,1530624257570.1316,0
57,26.3,22875492352,1530624257769.0852,0
58,22.4,22875328512,1530624257969.2517,0
59,22.6,22875676672,1530624258169.7458,0
