cpu_load,mem_avail,timestamp
17.6,21587898368,1536587635244.686
16.6,21586153472,1536587635444.406
16.1,21585620992,1536587635642.106
18.0,21585612800,1536587635841.8896
16.5,21585485824,1536587636041.6602
13.8,21585485824,1536587636241.7234
14.3,21585485824,1536587636442.1565
16.1,21570891776,1536587636641.952
15.4,21570891776,1536587636842.0205
17.5,21570891776,1536587637041.5579
16.9,21570891776,1536587637242.108
15.5,21570383872,1536587637442.2864
13.3,21570383872,1536587637641.9272
18.8,21582827520,1536587637841.901
14.5,21582692352,1536587638041.8032
19.0,21581914112,1536587638242.496
20.2,21580771328,1536587638442.1313
18.2,21580288000,1536587638641.977
17.9,21580128256,1536587638842.1653
15.3,21580001280,1536587639042.0283
18.8,21582032896,1536587639241.9602
28.0,21581430784,1536587639441.6824
20.1,21581303808,1536587639641.658
14.3,21581279232,1536587639841.9197
20.6,21581152256,1536587640041.9897
18.2,21581152256,1536587640242.0945
15.3,21581025280,1536587640442.1453
18.6,21580255232,1536587640642.1807
17.5,21580128256,1536587640841.9402
16.9,21580001280,1536587641042.0508
18.4,21579714560,1536587641242.006
19.9,21579304960,1536587641441.995
17.4,21579177984,1536587641642.0215
16.5,21579083776,1536587641842.215
14.5,21578948608,1536587642041.8145
18.4,21578567680,1536587642241.7861
14.3,21578567680,1536587642441.9626
13.8,21578416128,1536587642642.394
14.4,21578682368,1536587642842.1091
15.7,21563850752,1536587643042.184
16.2,21562892288,1536587643242.0322
20.4,21562929152,1536587643441.9753
17.4,21562662912,1536587643643.056
24.7,21560913920,1536587643841.9773
17.6,21560840192,1536587644042.45
15.2,21560840192,1536587644242.3489
16.8,21560840192,1536587644442.2764
16.3,21560569856,1536587644641.6895
18.4,21560193024,1536587644842.0842
19.1,21560193024,1536587645041.9512
16.2,21560066048,1536587645241.8308
17.6,21559988224,1536587645441.924
16.7,21559652352,1536587645641.81
16.6,21559586816,1536587645841.94
14.0,21559554048,1536587646042.3694
15.1,21559488512,1536587646242.0188
14.5,21559422976,1536587646442.2024
17.5,21559590912,1536587646642.4111
