cpu_load,mem_avail,timestamp
34.9,27392634880,1526054197804.3135
28.5,27391131648,1526054198003.5632
24.8,27391299584,1526054198201.2722
28.9,27391205376,1526054198401.1912
26.9,27391971328,1526054198601.3066
29.6,27391123456,1526054198801.3853
28.3,27390746624,1526054199001.0676
28.0,27390902272,1526054199201.371
27.4,27390939136,1526054199401.6726
29.4,27391344640,1526054199601.355
30.1,27391647744,1526054199801.4944
28.9,27390533632,1526054200001.4294
29.2,27391578112,1526054200201.1277
28.2,27390840832,1526054200401.3562
27.5,27390746624,1526054200601.3762
27.5,27390902272,1526054200801.5942
26.8,27391557632,1526054201001.4297
31.4,27391401984,1526054201201.3687
29.0,27389906944,1526054201401.5603
31.1,27390947328,1526054201601.473
27.1,27390746624,1526054201801.5356
26.5,27390939136,1526054202001.4255
26.6,27391664128,1526054202201.561
28.5,27391442944,1526054202401.4246
30.5,27390492672,1526054202601.2878
30.2,27385466880,1526054202802.2314
35.0,27385765888,1526054203002.0378
39.4,27385008128,1526054203201.3604
36.8,27385044992,1526054203401.7004
37.6,27385581568,1526054203601.0752
37.4,27386118144,1526054203801.4497
41.4,27386093568,1526054204001.489
37.7,27385708544,1526054204201.025
37.3,27385548800,1526054204401.2302
33.3,27384913920,1526054204601.0825
35.4,27384827904,1526054204801.01
32.7,27386642432,1526054205001.181
30.6,27386556416,1526054205202.294
31.0,27385577472,1526054205400.9634
34.5,27385360384,1526054205601.0615
31.8,27385384960,1526054205801.3735
32.5,27386216448,1526054206001.0881
34.4,27384999936,1526054206201.4312
32.3,27385417728,1526054206401.864
32.1,27385004032,1526054206601.3354
31.6,27385851904,1526054206801.3467
36.4,27385208832,1526054207001.366
40.6,27382059008,1526054207201.4338
38.6,27381694464,1526054207401.3044
38.5,27381977088,1526054207602.087
35.8,27381624832,1526054207801.1594
41.0,27384614912,1526054208001.3296
39.1,27382530048,1526054208201.283
35.8,27385118720,1526054208401.3489
34.9,27384590336,1526054208601.5083
34.8,27384705024,1526054208801.1948
33.3,27384864768,1526054209001.1948
30.1,27385573376,1526054209201.368
30.8,27385188352,1526054209401.2466
35.0,27385602048,1526054209601.2678
33.3,27385155584,1526054209801.4934
31.6,27385454592,1526054210001.4084
31.2,27385126912,1526054210201.4456
35.5,27385892864,1526054210401.3628
33.5,27385487360,1526054210601.4292
35.9,27385569280,1526054210801.1353
34.0,27384881152,1526054211001.3079
33.1,27384946688,1526054211201.073
33.8,27382349824,1526054211401.0566
35.0,27382341632,1526054211601.3638
32.0,27381874688,1526054211801.254
34.4,27382546432,1526054212002.2805
35.6,27382112256,1526054212201.35
33.8,27384614912,1526054212402.1023
36.3,27385053184,1526054212601.143
34.0,27384680448,1526054212801.5015
35.2,27384868864,1526054213001.4302
34.8,27384193024,1526054213201.4143
35.8,27385253888,1526054213401.2932
32.5,27384647680,1526054213601.3247
34.8,27384885248,1526054213801.015
32.3,27385626624,1526054214001.632
36.4,27384721408,1526054214201.8618
35.0,27385606144,1526054214401.0083
34.8,27385729024,1526054214601.3018
34.2,27384557568,1526054214801.611
35.6,27385008128,1526054215001.059
38.5,27382112256,1526054215201.3489
34.2,27383857152,1526054215401.324
36.7,27381473280,1526054215601.255
41.7,27382136832,1526054215801.1096
41.1,27381374976,1526054216001.3438
34.4,27385356288,1526054216201.21
40.6,27414368256,1526054216401.2698
47.0,27416092672,1526054216601.1082
45.9,27418128384,1526054216801.3352
49.4,27419086848,1526054217001.8572
37.0,27418927104,1526054217201.438
35.8,27419492352,1526054217401.4658
31.4,27419348992,1526054217601.061
33.1,27418378240,1526054217801.3152
31.2,27418804224,1526054218001.4014
30.5,27419267072,1526054218201.423
33.3,27418451968,1526054218401.3572
32.3,27419283456,1526054218601.208
30.5,27418071040,1526054218801.4824
33.7,27419643904,1526054219001.1177
34.2,27419676672,1526054219201.041
34.8,27418558464,1526054219401.2583
34.4,27418726400,1526054219601.1658
34.0,27419262976,1526054219801.0776
34.8,27419418624,1526054220001.488
35.3,27418189824,1526054220201.1711
37.6,27418910720,1526054220401.158
38.0,27418947584,1526054220601.1648
39.1,27419500544,1526054220801.28
37.3,27416289280,1526054221001.3804
37.3,27418771456,1526054221201.1355
37.3,27419402240,1526054221401.4658
36.9,27419271168,1526054221601.3835
38.4,27418759168,1526054221801.2197
37.7,27419598848,1526054222001.2769
34.2,27418238976,1526054222202.048
38.8,27419267072,1526054222401.3284
32.9,27419340800,1526054222601.4453
35.2,27419516928,1526054222801.2893
33.8,27418583040,1526054223001.2292
34.2,27418529792,1526054223201.39
35.0,27419213824,1526054223401.7734
36.4,27418394624,1526054223601.308
30.5,27418832896,1526054223801.1064
34.0,27419254784,1526054224001.257
30.5,27418873856,1526054224201.121
32.9,27418267648,1526054224401.2786
33.1,27418435584,1526054224600.8213
35.8,27419373568,1526054224801.3325
39.2,27415539712,1526054225000.954
35.0,27418767360,1526054225201.3853
39.4,27416305664,1526054225401.2578
39.1,27416195072,1526054225601.0466
38.1,27416047616,1526054225802.0503
32.2,27415429120,1526054226001.0308
41.6,27414687744,1526054226201.414
32.5,27419213824,1526054226400.975
36.0,27419627520,1526054226601.3342
36.9,27419680768,1526054226801.3535
31.4,27419475968,1526054227001.392
33.5,27419963392,1526054227201.386
33.8,27420135424,1526054227401.2546
