,cpu_load,mem_avail,timestamp
0,34.5,27390816256,1526054335802.2275
1,27.3,27388813312,1526054336001.8604
2,28.5,27389984768,1526054336197.3
3,28.8,27388489728,1526054336397.1782
4,28.1,27389034496,1526054336597.2961
5,31.9,27390201856,1526054336797.6082
6,30.4,27388067840,1526054336997.6458
7,25.7,27389300736,1526054337197.158
8,28.8,27387858944,1526054337397.6492
9,28.9,27389284352,1526054337597.4363
10,28.9,27388829696,1526054337797.5034
11,27.3,27389411328,1526054337997.5112
12,26.6,27389005824,1526054338197.4258
13,28.0,27388559360,1526054338397.611
14,27.2,27389173760,1526054338597.094
15,26.6,27388940288,1526054338797.4058
16,27.4,27389091840,1526054338997.4146
17,29.6,27388964864,1526054339197.304
18,26.9,27389657088,1526054339397.7534
19,28.9,27388919808,1526054339597.2542
20,27.8,27388698624,1526054339797.475
21,29.6,27388727296,1526054339997.1956
22,28.5,27388624896,1526054340197.4954
23,31.9,27388907520,1526054340397.7166
24,29.4,27388559360,1526054340597.5037
25,35.9,27383545856,1526054340797.9019
26,38.4,27380871168,1526054340998.1436
27,38.2,27380400128,1526054341197.4065
28,39.9,27382992896,1526054341397.5754
29,39.1,27382775808,1526054341597.4707
30,36.5,27379556352,1526054341797.812
31,42.4,27379437568,1526054341997.6345
32,40.7,27383095296,1526054342197.5596
33,35.0,27383001088,1526054342397.4917
34,31.8,27383263232,1526054342597.1807
35,34.4,27383066624,1526054342797.299
36,32.7,27382939648,1526054342997.4558
37,31.6,27383533568,1526054343197.3835
38,27.5,27383758848,1526054343397.5393
39,28.5,27382906880,1526054343597.9272
40,33.3,27383443456,1526054343797.6367
41,36.0,27383644160,1526054343997.6775
42,35.4,27383263232,1526054344197.4014
43,34.0,27383042048,1526054344397.285
44,34.4,27383496704,1526054344597.528
45,32.5,27382956032,1526054344797.067
46,36.6,27380146176,1526054344997.425
47,35.7,27383312384,1526054345197.3208
48,37.2,27380486144,1526054345397.4949
49,43.5,27379892224,1526054345597.4988
50,41.1,27379638272,1526054345797.468
51,34.6,27380412416,1526054345997.317
52,40.3,27380109312,1526054346197.4175
53,37.7,27380170752,1526054346397.4905
54,34.6,27382599680,1526054346597.881
55,38.0,27379867648,1526054346797.454
56,34.6,27383500800,1526054346997.2888
57,31.8,27382562816,1526054347197.217
58,31.6,27383549952,1526054347397.1318
59,32.9,27383660544,1526054347597.6658
60,30.3,27383705600,1526054347797.6243
61,33.1,27383328768,1526054347997.2744
62,31.4,27383906304,1526054348197.3333
63,31.0,27383275520,1526054348397.611
64,33.5,27383181312,1526054348597.5728
65,33.8,27384053760,1526054348797.4028
66,32.5,27383222272,1526054348997.3804
67,36.7,27383001088,1526054349197.4883
68,37.9,27380690944,1526054349397.3394
69,36.4,27379748864,1526054349597.1807
70,33.1,27379646464,1526054349797.506
71,31.8,27380305920,1526054349997.9094
72,34.6,27383271424,1526054350197.4287
73,40.5,27383201792,1526054350398.0244
74,34.2,27384111104,1526054350597.6008
75,33.1,27382513664,1526054350797.5303
76,35.4,27383422976,1526054350997.546
77,32.9,27382861824,1526054351198.3284
78,33.1,27382996992,1526054351397.736
79,37.4,27383033856,1526054351597.7463
80,35.7,27383746560,1526054351797.3872
81,33.8,27383177216,1526054351997.4421
82,36.0,27383214080,1526054352197.4868
83,37.8,27382190080,1526054352397.1904
84,31.8,27383365632,1526054352597.0461
85,32.9,27382820864,1526054352797.4473
86,38.6,27380240384,1526054352997.616
87,39.5,27382644736,1526054353197.4365
88,37.4,27380125696,1526054353397.5608
89,38.2,27380486144,1526054353597.3792
90,39.2,27380813824,1526054353797.5142
91,35.6,27379781632,1526054353997.5188
92,40.3,27378987008,1526054354198.0132
93,41.4,27413524480,1526054354397.7039
94,37.2,27415961600,1526054354597.4685
95,30.7,27416330240,1526054354797.5134
96,35.0,27416580096,1526054354997.4875
97,34.2,27416023040,1526054355197.418
98,32.1,27415900160,1526054355397.5344
99,29.9,27416236032,1526054355597.8062
100,32.1,27416068096,1526054355797.2249
101,33.7,27416104960,1526054355997.2996
102,32.5,27416903680,1526054356197.357
103,33.3,27416432640,1526054356397.4512
104,32.9,27416641536,1526054356597.3643
105,35.2,27416297472,1526054356797.2395
106,33.8,27416133632,1526054356997.389
107,34.0,27416092672,1526054357197.8074
108,36.6,27417460736,1526054357397.4346
109,34.4,27416453120,1526054357597.492
