cpu_load,mem_avail,timestamp
4.8,30132436992,1525357874083.949
11.8,30130077696,1525357874283.9873
10.8,30130049024,1525357874481.5825
10.7,30129987584,1525357874681.5134
11.2,30129418240,1525357874881.4138
8.9,30129356800,1525357875081.4067
10.6,30131290112,1525357875282.4373
9.4,30131081216,1525357875482.0007
7.7,30131056640,1525357875682.0554
12.8,30131068928,1525357875882.4915
10.1,30164328448,1525357876083.2551
10.2,30163980288,1525357876283.048
12.4,30164017152,1525357876482.5369
10.7,30164160512,1525357876682.698
7.2,30164291584,1525357876882.3528
12.3,30164267008,1525357877083.0662
10.8,30164516864,1525357877282.733
10.7,30164426752,1525357877482.549
10.7,30164426752,1525357877682.6658
10.1,30164316160,1525357877883.4915
12.3,30162825216,1525357878081.938
13.2,30164619264,1525357878282.1116
12.5,30162841600,1525357878482.392
13.3,30163697664,1525357878682.127
14.4,30163124224,1525357878882.11
13.8,30163431424,1525357879082.1274
13.7,30164307968,1525357879281.5574
8.9,30163173376,1525357879481.4604
10.6,30163521536,1525357879681.3962
11.0,30162771968,1525357879881.6885
10.5,30162739200,1525357880083.4143
8.3,30162624512,1525357880283.6099
12.3,30162366464,1525357880483.4934
8.3,30162563072,1525357880683.4624
11.7,30162706432,1525357880883.4043
7.7,30162706432,1525357881083.3242
8.3,30162710528,1525357881283.5234
10.6,30162681856,1525357881483.2065
13.4,30162685952,1525357881683.2634
12.3,30162788352,1525357881882.3872
10.2,30162825216,1525357882081.9265
12.7,30162853888,1525357882281.401
8.3,30161551360,1525357882481.819
7.1,30161596416,1525357882682.1218
12.2,30161252352,1525357882882.4465
12.2,30161330176,1525357883083.2612
11.3,30163587072,1525357883281.9858
7.1,30160863232,1525357883482.7266
11.8,30163795968,1525357883682.7363
8.3,30163705856,1525357883883.639
11.8,30163619840,1525357884083.5928
9.0,30161760256,1525357884282.3855
10.6,30164627456,1525357884482.441
9.5,30161674240,1525357884682.5635
8.9,30163980288,1525357884883.4558
10.2,30161317888,1525357885082.1538
11.1,30163996672,1525357885281.6897
8.8,30161211392,1525357885482.1946
12.2,30163881984,1525357885682.9888
11.2,30164168704,1525357885883.0562
11.9,30161854464,1525357886082.545
13.0,30161604608,1525357886282.5713
13.8,30161461248,1525357886482.356
16.4,30163861504,1525357886681.892
13.8,30160601088,1525357886882.3564
14.2,30161235968,1525357887082.353
12.1,30161362944,1525357887282.1904
12.6,30163623936,1525357887481.7473
8.2,30163623936,1525357887683.4788
13.0,30163382272,1525357887881.9624
9.9,30163365888,1525357888082.7488
8.8,30163369984,1525357888283.276
7.6,30163390464,1525357888484.1438
8.9,30163427328,1525357888683.292
9.5,30161281024,1525357888883.6614
12.4,30161244160,1525357889082.5632
10.8,30164004864,1525357889282.3916
