cpu_load,mem_avail,timestamp
33.6,23936593920,1525961733380.4766
28.8,23934722048,1525961733579.5237
28.5,23934570496,1525961733776.787
29.4,23933886464,1525961733976.5005
29.0,23934435328,1525961734176.4338
26.6,23933730816,1525961734376.503
30.7,23934238720,1525961734576.4368
27.8,23933521920,1525961734776.5918
28.9,23934926848,1525961734976.9094
29.8,23935062016,1525961735176.5835
28.3,23933882368,1525961735376.8289
29.6,23933665280,1525961735576.5486
29.6,23934681088,1525961735776.6821
29.3,23933984768,1525961735976.6968
29.2,23933304832,1525961736176.791
27.7,23934283776,1525961736376.6401
30.5,23934443520,1525961736576.7231
27.8,23934078976,1525961736776.5713
29.2,23933005824,1525961736976.6497
28.6,23933964288,1525961737176.6196
28.7,23932768256,1525961737376.575
27.4,23933952000,1525961737576.6462
27.8,23933157376,1525961737776.6187
31.1,23933964288,1525961737976.5938
32.0,23933239296,1525961738176.7334
29.4,23929425920,1525961738376.976
38.3,23927537664,1525961738577.031
40.0,23927906304,1525961738777.3184
40.4,23927771136,1525961738976.4692
39.1,23927840768,1525961739176.9534
36.9,23927734272,1525961739376.7651
38.9,23927382016,1525961739576.786
38.8,23927173120,1525961739776.598
39.6,23927017472,1525961739976.6582
36.9,23926304768,1525961740176.7717
36.7,23925866496,1525961740376.9197
36.1,23926157312,1525961740576.897
35.2,23925932032,1525961740776.554
33.7,23925768192,1525961740977.362
33.3,23926616064,1525961741176.9148
33.3,23925592064,1525961741376.579
35.0,23925665792,1525961741576.786
34.0,23925686272,1525961741776.8694
34.0,23925075968,1525961741976.9546
31.2,23925858304,1525961742176.9922
34.7,23925665792,1525961742376.465
29.1,23925403648,1525961742576.4736
39.5,23922167808,1525961742776.753
33.1,23925051392,1525961742976.661
38.1,23921848320,1525961743177.1445
36.8,23922278400,1525961743376.8667
40.6,23921664000,1525961743576.9355
35.6,23922151424,1525961743776.8728
40.6,23925755904,1525961743976.7131
34.8,23925477376,1525961744176.6106
32.9,23925850112,1525961744376.5703
34.4,23925440512,1525961744576.5557
30.8,23925116928,1525961744776.5996
30.1,23924944896,1525961744976.5308
34.8,23924498432,1525961745176.54
28.8,23925211136,1525961745376.6643
34.2,23924297728,1525961745576.5989
29.1,23923855360,1525961745776.4402
30.6,23923597312,1525961745976.433
31.8,23924502528,1525961746176.5325
29.5,23924424704,1525961746376.5464
31.6,23924436992,1525961746576.6423
32.3,23923810304,1525961746776.6138
32.0,23923396608,1525961746976.8733
35.3,23923163136,1525961747176.621
36.1,23923073024,1525961747376.537
33.1,23922675712,1525961747576.5918
34.6,23922507776,1525961747776.5396
34.2,23921192960,1525961747976.712
34.6,23918661632,1525961748176.7786
32.3,23923367936,1525961748376.646
34.2,23922221056,1525961748576.6824
29.7,23921995776,1525961748776.6543
37.4,23922348032,1525961748976.8787
33.8,23922032640,1525961749176.6729
35.4,23921999872,1525961749376.8606
37.1,23920930816,1525961749576.5134
36.1,23922286592,1525961749776.7146
34.8,23921430528,1525961749976.8616
36.6,23920861184,1525961750176.6768
35.8,23921070080,1525961750376.7595
35.8,23921651712,1525961750576.8706
38.6,23917105152,1525961750777.0767
39.0,23920676864,1525961750976.733
39.2,23917449216,1525961751176.6587
33.5,23920926720,1525961751376.468
41.7,23917457408,1525961751576.7612
41.2,23917527040,1525961751776.5994
42.8,23920857088,1525961751976.5623
40.6,23917588480,1525961752176.7263
39.9,23920906240,1525961752376.7341
34.6,23921004544,1525961752576.642
36.0,23921217536,1525961752776.7627
35.2,23920025600,1525961752977.3035
33.3,23920664576,1525961753177.0618
33.1,23920242688,1525961753376.6282
33.8,23920685056,1525961753577.5076
34.4,23920095232,1525961753776.834
35.7,23919751168,1525961753976.8208
35.2,23919181824,1525961754176.537
33.3,23919505408,1525961754376.552
34.6,23919357952,1525961754576.7612
35.0,23919210496,1525961754776.5254
35.7,23919386624,1525961754976.3887
35.6,23918632960,1525961755177.2937
35.0,23919190016,1525961755376.6504
34.6,23918829568,1525961755576.5417
36.4,23918579712,1525961755777.343
36.7,23918878720,1525961755976.47
35.0,23918718976,1525961756176.4622
36.1,23918477312,1525961756376.5771
34.9,23918526464,1525961756576.7622
36.6,23918546944,1525961756777.0916
36.7,23919190016,1525961756976.525
36.6,23918620672,1525961757177.0566
33.3,23917858816,1525961757376.3596
31.8,23918100480,1525961757576.5903
34.6,23916609536,1525961757776.8494
31.8,23917350912,1525961757976.7534
32.3,23917756416,1525961758176.8528
34.2,23916843008,1525961758376.6287
32.9,23917215744,1525961758576.5518
32.9,23916343296,1525961758776.3958
34.2,23917441024,1525961758976.5457
31.6,23917387776,1525961759176.4553
35.6,23916929024,1525961759376.4775
31.4,23916498944,1525961759576.6191
32.9,23916228608,1525961759777.1853
34.2,23917682688,1525961759976.8977
31.4,23916777472,1525961760176.7278
30.7,23916126208,1525961760376.868
39.7,23912689664,1525961760576.9504
41.1,23912554496,1525961760777.0972
38.2,23916146688,1525961760976.7651
42.2,23912427520,1525961761179.359
37.3,23912427520,1525961761376.5986
35.9,23915159552,1525961761576.6614
33.7,23915069440,1525961761776.528
35.4,23913762816,1525961761976.5325
32.7,23913390080,1525961762176.6692
29.5,23915008000,1525961762376.6528
36.9,23915892736,1525961762576.6567
44.2,23947743232,1525961762776.7075
39.7,23948427264,1525961762990.075
32.7,23948812288,1525961763176.633
31.4,23947931648,1525961763376.6865
32.7,23947624448,1525961763576.6912
34.4,23947755520,1525961763776.6575
35.2,23948496896,1525961763977.076
32.1,23947677696,1525961764176.6338
31.6,23948279808,1525961764376.5105
33.5,23947239424,1525961764576.5278
36.0,23947636736,1525961764776.6484
34.4,23947698176,1525961764976.5103
34.2,23947898880,1525961765176.5085
36.8,23943385088,1525961765377.1367
35.1,23943278592,1525961765576.9382
35.2,23946629120,1525961765776.785
33.1,23946039296,1525961765976.751
34.6,23945318400,1525961766176.67
31.8,23946412032,1525961766376.5928
33.1,23946309632,1525961766578.0583
35.8,23946539008,1525961766777.4412
32.5,23941804032,1525961766976.6091
32.5,23946129408,1525961767176.7285
30.8,23945359360,1525961767377.2373
32.5,23945973760,1525961767576.6667
33.3,23945977856,1525961767776.659
36.1,23945760768,1525961767976.7393
31.8,23946186752,1525961768176.7864
34.0,23945191424,1525961768376.4688
32.3,23945924608,1525961768576.6707
34.2,23945531392,1525961768776.6978
31.6,23945867264,1525961768976.5574
33.1,23944376320,1525961769176.7876
33.7,23945510912,1525961769376.738
35.9,23945494528,1525961769576.6384
34.4,23945158656,1525961769776.525
34.6,23943946240,1525961769976.742
33.7,23944953856,1525961770176.6387
34.6,23944347648,1525961770376.682
39.4,23940771840,1525961770576.8948
41.4,23941332992,1525961770777.0388
42.6,23944396800,1525961770976.9084
40.8,23960010752,1525961771176.6846
38.4,23955914752,1525961771376.8572
40.4,23956647936,1525961771577.3918
37.8,23959318528,1525961771776.9194
42.5,23956598784,1525961771976.7505
37.3,23959425024,1525961772177.2805
30.5,23959375872,1525961772376.701
36.3,23959564288,1525961772576.6685
32.5,23959326720,1525961772776.734
30.6,23959306240,1525961772976.5044
26.5,23959404544,1525961773176.4841
28.4,23958806528,1525961773376.5605
27.1,23959580672,1525961773576.8235
35.2,23959138304,1525961773776.9438
33.7,23958396928,1525961773976.616
36.3,23959085056,1525961774176.752
33.3,23959019520,1525961774376.6848
32.9,23958454272,1525961774577.9807
33.5,23957979136,1525961774776.5442
31.6,23958437888,1525961774976.7507
35.0,23958487040,1525961775176.904
34.0,23958917120,1525961775376.724
34.0,23958958080,1525961775576.5933
33.1,23958687744,1525961775776.5
32.7,23959089152,1525961775976.53
34.8,23958253568,1525961776176.6938
32.9,23958478848,1525961776376.6582
31.6,23958364160,1525961776576.9949
35.2,23957815296,1525961776776.8442
34.4,23957671936,1525961776976.6416
34.2,23957291008,1525961777176.4778
42.1,23954141184,1525961777380.4749
16.0,23951790080,1525961777578.0032
11.5,23942152192,1525961777778.3987
10.4,23942189056,1525961777978.3691
15.8,23931920384,1525961778179.2832
32.0,23931908096,1525961778377.0298
31.4,23933140992,1525961778576.727
31.2,23933739008,1525961778776.6619
35.4,23932739584,1525961778976.5515
32.3,23932493824,1525961779176.5557
33.5,23932313600,1525961779376.6023
31.8,23932080128,1525961779576.5894
34.0,23933038592,1525961779776.4966
32.5,23932473344,1525961779976.735
30.3,23931981824,1525961780176.4778
35.5,23932751872,1525961780376.552
31.4,23932280832,1525961780576.67
32.7,23931973632,1525961780776.6248
34.4,23932203008,1525961780976.5925
31.2,23932157952,1525961781176.7593
34.2,23931842560,1525961781376.724
34.8,23931871232,1525961781576.5432
34.4,23931654144,1525961781776.5862
36.7,23928131584,1525961781976.75
40.0,23927664640,1525961782176.999
36.9,23927586816,1525961782377.117
42.0,23930335232,1525961782577.0103
37.4,23926603776,1525961782776.8267
37.3,23930585088,1525961782976.9585
34.8,23930064896,1525961783176.6658
36.9,23931326464,1525961783376.6904
35.0,23930523648,1525961783576.764
35.3,23930400768,1525961783776.706
37.0,23932137472,1525961783980.7305
35.5,23932534784,1525961784176.701
32.0,23931564032,1525961784376.903
36.9,23931674624,1525961784576.771
39.8,23932116992,1525961784776.8677
36.1,23931363328,1525961784976.8445
34.8,23932129280,1525961785176.791
36.5,23931621376,1525961785377.6292
33.3,23932293120,1525961785576.7136
31.8,23932030976,1525961785776.474
32.5,23931170816,1525961785976.6565
32.3,23930961920,1525961786176.621
32.9,23931277312,1525961786376.625
35.6,23931498496,1525961786576.7053
30.4,23931285504,1525961786776.7625
34.4,23930961920,1525961786976.6167
50.0,23946178560,1525961787176.73
33.8,23946162176,1525961787377.5166
34.6,23945711616,1525961787577.275
33.5,23946264576,1525961787777.0667
34.4,23945961472,1525961787977.3196
32.3,23945805824,1525961788176.8518
31.2,23965122560,1525961788376.5833
30.8,23964577792,1525961788576.9556
34.2,23964200960,1525961788776.675
35.2,23964807168,1525961788976.817
34.4,23964258304,1525961789176.793
34.1,23962939392,1525961789378.6018
32.7,23963611136,1525961789576.6445
31.6,23963545600,1525961789776.9973
34.6,23964749824,1525961789976.6787
35.6,23963447296,1525961790177.1118
34.6,23963074560,1525961790377.871
37.2,23960657920,1525961790576.9443
41.5,23959330816,1525961790776.8403
28.8,23960010752,1525961790976.6726
39.5,23959609344,1525961791176.982
39.7,23960444928,1525961791376.8635
39.6,23964368896,1525961791576.5405
39.9,23961456640,1525961791777.1775
40.4,23961616384,1525961791976.895
40.4,23963693056,1525961792176.7659
38.6,23960596480,1525961792376.8232
35.9,23963717632,1525961792576.817
36.0,23964172288,1525961792777.0889
23.2,23963611136,1525961792976.9421
33.8,23964921856,1525961793176.4624
33.3,23961059328,1525961793377.9626
33.6,23960018944,1525961793576.7847
37.2,23963512832,1525961793777.406
34.6,23963369472,1525961793976.7136
34.4,23963131904,1525961794176.7104
34.6,23962423296,1525961794376.5693
35.8,23963869184,1525961794576.9778
43.9,23963721728,1525961794777.8809
35.4,23962816512,1525961794977.0425
33.3,23962923008,1525961795176.9956
35.0,23963922432,1525961795376.8696
32.3,23962972160,1525961795576.5012
36.2,23963348992,1525961795777.831
30.1,23962591232,1525961795976.9907
33.5,23962693632,1525961796176.6406
33.5,23961935872,1525961796376.6655
32.9,23962472448,1525961796576.9126
32.7,23962525696,1525961796778.2698
31.2,23962206208,1525961796976.4612
32.5,23961935872,1525961797176.6692
29.1,23961964544,1525961797376.631
31.9,23962238976,1525961797585.5557
33.6,23963148288,1525961797777.9998
31.0,23963140096,1525961797977.1848
31.0,23963365376,1525961798176.7065
30.8,23963971584,1525961798376.7852
35.5,23963201536,1525961798576.6711
32.3,23963914240,1525961798778.1514
33.8,23963324416,1525961798977.3022
32.1,23962898432,1525961799176.606
32.5,23961874432,1525961799376.6433
34.4,23962583040,1525961799576.4617
37.1,23962103808,1525961799777.3926
32.7,23962656768,1525961799976.503
32.7,23963250688,1525961800176.5098
38.1,23958331392,1525961800376.568
32.9,23961587712,1525961800576.5571
30.9,23966330880,1525961800778.2612
26.9,23966662656,1525961800976.6323
28.1,23966474240,1525961801176.4124
28.0,23965749248,1525961801376.5698
26.0,23965347840,1525961801576.7
