,cpu_load,mem_avail,timestamp,run
0,31.0,23922397184,1525961664396.1855,0
1,29.9,23919439872,1525961664595.3523,0
2,33.5,23920328704,1525961664793.1975,0
3,29.6,23919263744,1525961664993.199,0
4,31.0,23919177728,1525961665193.2136,0
5,27.8,23919173632,1525961665393.0596,0
6,25.8,23919968256,1525961665593.4526,0
7,27.1,23919476736,1525961665793.2844,0
8,29.1,23918669824,1525961665993.2576,0
9,28.8,23919906816,1525961666193.1638,0
10,26.8,23917588480,1525961666393.1128,0
11,29.1,23918198784,1525961666594.4795,0
12,31.0,23924015104,1525961666793.4868,0
13,31.4,23924047872,1525961666993.5132,0
14,32.3,23922585600,1525961667193.3552,0
15,31.6,23922610176,1525961667393.6567,0
16,29.9,23923122176,1525961667593.4382,0
17,28.3,23923793920,1525961667793.205,0
18,29.0,23923961856,1525961667993.0342,0
19,31.1,23921819648,1525961668193.1775,0
20,26.6,23922171904,1525961668393.1924,0
21,29.6,23922970624,1525961668593.5105,0
22,28.0,23921926144,1525961668793.1572,0
23,24.5,23923236864,1525961668994.0005,0
24,27.7,23922511872,1525961669193.6472,0
25,32.1,23917187072,1525961669394.12,0
26,39.9,23909605376,1525961669595.195,0
27,39.1,23906795520,1525961669793.8232,0
28,36.9,23907561472,1525961669993.6294,0
29,38.9,23908786176,1525961670193.644,0
30,39.5,23907917824,1525961670393.2332,0
31,37.2,23907332096,1525961670593.53,0
32,33.6,23908077568,1525961670793.2417,0
33,31.8,23907483648,1525961670993.087,0
34,33.3,23907749888,1525961671193.1406,0
35,31.4,23909888000,1525961671393.075,0
36,31.8,23910535168,1525961671596.2134,0
37,35.0,23910244352,1525961671793.2258,0
38,34.4,23910232064,1525961671993.2175,0
39,30.3,23909007360,1525961672193.1694,0
40,35.5,23909347328,1525961672393.1562,0
41,30.8,23909912576,1525961672593.1875,0
42,35.8,23910215680,1525961672793.0923,0
43,37.3,23910051840,1525961672993.1094,0
44,38.4,23909621760,1525961673193.468,0
45,39.8,23909322752,1525961673393.7273,0
46,39.0,23907696640,1525961673596.4304,0
47,40.8,23907844096,1525961673793.0796,0
48,37.7,23905431552,1525961673993.1875,0
49,37.8,23906992128,1525961674193.6238,0
50,41.6,23904989184,1525961674393.2815,0
51,38.2,23907463168,1525961674593.3347,0
52,35.8,23907213312,1525961674793.2,0
53,35.2,23903481856,1525961674993.4678,0
54,33.5,23905308672,1525961675193.7903,0
55,31.4,23906058240,1525961675393.6138,0
56,31.9,23905636352,1525961675593.3364,0
57,30.8,23905755136,1525961675793.0413,0
58,31.0,23906951168,1525961675993.2122,0
59,31.3,23906996224,1525961676193.1648,0
60,28.6,23907139584,1525961676393.0957,0
61,31.2,23907028992,1525961676593.3928,0
62,32.9,23906652160,1525961676793.2307,0
63,29.4,23906799616,1525961676993.325,0
64,29.7,23907323904,1525961677193.2634,0
65,33.7,23906496512,1525961677393.5903,0
66,34.0,23906844672,1525961677593.5237,0
67,34.4,23919681536,1525961677793.3335,0
68,37.0,23917207552,1525961677993.2683,0
69,30.9,23916617728,1525961678193.2202,0
70,33.5,23916920832,1525961678393.3665,0
71,30.7,23915991040,1525961678593.2356,0
72,38.2,23918223360,1525961678793.3835,0
73,40.6,23917015040,1525961678993.8235,0
74,43.0,23916449792,1525961679194.474,0
75,40.3,23916462080,1525961679393.5332,0
76,36.9,23917207552,1525961679593.3413,0
77,36.0,23916978176,1525961679794.5427,0
78,35.8,23916933120,1525961679993.483,0
79,32.2,23916060672,1525961680193.2695,0
80,34.8,23915847680,1525961680394.7288,0
81,34.8,23916433408,1525961680593.2505,0
82,33.7,23917617152,1525961680793.429,0
83,35.2,23915741184,1525961680993.286,0
84,34.9,23915675648,1525961681193.1409,0
85,32.9,23915962368,1525961681393.195,0
86,41.2,23914225664,1525961681593.3276,0
87,38.8,23916675072,1525961681793.4336,0
88,39.9,23914938368,1525961681993.3447,0
89,37.5,23912796160,1525961682193.3506,0
90,38.3,23913934848,1525961682393.3823,0
91,41.9,23913623552,1525961682593.5212,0
92,41.3,23913512960,1525961682793.5818,0
93,39.9,23912701952,1525961682993.3691,0
94,37.7,23915282432,1525961683193.1848,0
95,30.8,23915585536,1525961683393.1108,0
96,36.1,23915233280,1525961683593.199,0
97,34.2,23915642880,1525961683793.4092,0
98,28.9,23915212800,1525961683993.1755,0
99,29.9,23914053632,1525961684193.1377,0
100,31.6,23915847680,1525961684393.0884,0
101,31.2,23917068288,1525961684593.0771,0
102,36.1,23915585536,1525961684793.275,0
103,37.6,23915634688,1525961684993.5718,0
104,37.4,23915732992,1525961685193.4458,0
105,37.7,23915450368,1525961685393.5544,0
106,38.9,23914147840,1525961685593.1665,0
107,36.1,23915102208,1525961685793.3762,0
108,33.1,23914409984,1525961685993.1716,0
109,34.0,23914237952,1525961686193.117,0
110,32.7,23913840640,1525961686393.288,0
111,36.4,23914610688,1525961686593.4763,0
112,37.3,23912804352,1525961686794.9084,0
113,36.2,23910465536,1525961686993.401,0
114,38.3,23911313408,1525961687193.7542,0
115,35.3,23911817216,1525961687393.3806,0
116,35.6,23911604224,1525961687593.1758,0
117,34.8,23937818624,1525961687793.3074,0
118,38.7,23937011712,1525961687993.7412,0
119,32.2,23936827392,1525961688193.7715,0
120,34.4,23936270336,1525961688393.338,0
121,33.1,23936221184,1525961688593.4517,0
122,31.6,23936864256,1525961688793.2769,0
123,35.0,23936692224,1525961688993.29,0
124,30.9,23936548864,1525961689193.4363,0
125,31.4,23937597440,1525961689393.15,0
126,34.2,23935873024,1525961689593.1267,0
127,34.0,23936741376,1525961689793.2878,0
128,33.7,23936585728,1525961689993.3418,0
129,29.4,23936385024,1525961690193.1929,0
130,35.2,23934758912,1525961690393.31,0
131,35.6,23935406080,1525961690593.0486,0
132,31.6,23935053824,1525961690793.2117,0
133,34.2,23936069632,1525961690993.016,0
134,33.3,23935475712,1525961691193.3953,0
135,42.4,23933296640,1525961691393.6123,0
136,31.4,23936274432,1525961691593.3884,0
137,42.0,23932747776,1525961691795.3281,0
138,41.4,23933935616,1525961691993.3176,0
139,37.7,23932923904,1525961692193.2642,0
140,40.0,23933050880,1525961692393.3252,0
141,35.1,23935795200,1525961692593.1829,0
142,33.5,23934853120,1525961692793.2205,0
143,34.8,23935848448,1525961692996.4612,0
144,31.4,23935475712,1525961693196.9492,0
145,31.8,23934676992,1525961693393.6416,0
146,33.3,23933575168,1525961693593.2715,0
147,35.3,23933366272,1525961693793.2507,0
148,33.8,23934021632,1525961693993.0654,0
149,38.2,23933763584,1525961694193.2957,0
150,34.8,23934070784,1525961694393.2026,0
151,34.2,23933771776,1525961694593.1118,0
152,34.2,23932428288,1525961694793.3618,0
153,35.2,23932751872,1525961694993.3118,0
154,33.8,23932424192,1525961695193.3635,0
155,28.5,23932080128,1525961695393.224,0
156,35.4,23932215296,1525961695593.067,0
157,34.4,23933145088,1525961695793.1504,0
158,35.0,23932207104,1525961695993.1538,0
159,31.8,23931703296,1525961696193.4766,0
160,35.6,23931887616,1525961696393.586,0
161,34.4,23931609088,1525961696593.1536,0
162,33.8,23931740160,1525961696793.252,0
163,31.6,23932211200,1525961696993.3958,0
164,36.7,23931461632,1525961697193.6423,0
165,33.7,23931797504,1525961697393.411,0
166,31.0,23932039168,1525961697593.45,0
167,33.7,23933190144,1525961697793.1565,0
168,34.6,23932731392,1525961697993.1592,0
169,30.7,23932325888,1525961698193.14,0
170,31.8,23931662336,1525961698393.0442,0
171,32.3,23932084224,1525961698593.094,0
172,33.7,23932882944,1525961698793.0366,0
173,33.1,23932375040,1525961698993.1765,0
174,36.5,23931559936,1525961699193.2393,0
175,32.1,23931899904,1525961699393.1248,0
176,32.7,23931580416,1525961699593.2607,0
177,30.1,23931244544,1525961699793.4688,0
178,32.1,23931826176,1525961699993.1802,0
179,29.8,23929712640,1525961700193.189,0
180,36.2,23930712064,1525961700393.1484,0
181,32.9,23930146816,1525961700593.2285,0
182,33.1,23929942016,1525961700793.5625,0
183,30.9,23930634240,1525961700993.366,0
184,35.6,23929663488,1525961701193.308,0
185,35.0,23929729024,1525961701393.2349,0
186,38.6,23928332288,1525961701594.1526,0
187,36.1,23931904000,1525961701793.2793,0
188,38.6,23928270848,1525961701993.4087,0
189,40.7,23926796288,1525961702193.6768,0
190,43.8,23926824960,1525961702393.2605,0
191,32.3,23928455168,1525961702593.4026,0
192,40.9,23927549952,1525961702793.1003,0
193,40.1,23927980032,1525961702993.3074,0
194,38.8,23929901056,1525961703193.7725,0
195,33.3,23930277888,1525961703393.4312,0
196,33.1,23930200064,1525961703593.3274,0
197,33.5,23931265024,1525961703793.2617,0
198,28.1,23930093568,1525961703993.3115,0
199,34.4,23930474496,1525961704193.223,0
200,34.0,23930863616,1525961704393.5369,0
201,34.4,23929982976,1525961704593.139,0
202,33.5,23929585664,1525961704793.1743,0
203,33.1,23930028032,1525961704993.276,0
204,33.3,23929450496,1525961705193.8582,0
205,36.0,23929020416,1525961705393.1804,0
206,33.5,23928909824,1525961705593.3865,0
207,34.6,23928557568,1525961705793.394,0
208,31.8,23929167872,1525961705993.309,0
209,32.1,23926796288,1525961706193.3535,0
210,32.5,23927283712,1525961706393.1924,0
211,34.4,23926960128,1525961706593.4258,0
212,31.8,23926996992,1525961706793.5232,0
213,35.8,23926927360,1525961706993.3594,0
214,34.4,23927459840,1525961707193.9502,0
215,31.6,23926808576,1525961707393.3792,0
216,30.1,23926587392,1525961707593.258,0
217,32.3,23925968896,1525961707793.224,0
218,31.0,23926931456,1525961707993.2122,0
219,34.3,23926726656,1525961708201.0503,0
220,30.7,23926509568,1525961708393.307,0
221,32.9,23927222272,1525961708593.1719,0
222,34.8,23925395456,1525961708793.289,0
223,33.3,23925252096,1525961708993.2305,0
224,34.0,23925878784,1525961709193.1511,0
225,31.2,23925288960,1525961709393.2537,0
226,31.6,23925088256,1525961709593.354,0
227,30.8,23926149120,1525961709793.1611,0
228,31.6,23925993472,1525961709993.412,0
229,33.7,23924752384,1525961710193.1873,0
230,34.0,23924588544,1525961710393.4092,0
231,31.2,23925477376,1525961710593.2048,0
232,34.8,23924862976,1525961710793.3582,0
233,33.8,23925850112,1525961710993.288,0
234,33.5,23925415936,1525961711193.19,0
235,32.9,23925620736,1525961711393.4468,0
236,34.6,23924609024,1525961711593.2212,0
237,31.9,23925137408,1525961711793.1948,0
238,37.2,23924133888,1525961711993.1875,0
239,34.2,23924908032,1525961712193.184,0
240,32.3,23924445184,1525961712393.464,0
241,36.5,23924281344,1525961712593.8833,0
242,32.9,23923113984,1525961712793.3318,0
243,38.2,23922638848,1525961712993.511,0
244,39.4,23922585600,1525961713193.4548,0
245,31.8,23926341632,1525961713393.096,0
246,40.3,23922204672,1525961713593.1785,0
247,39.1,23921778688,1525961713793.1687,0
248,40.1,23924781056,1525961713993.33,0
249,34.8,23924404224,1525961714193.2424,0
250,35.2,23924670464,1525961714393.0735,0
251,33.3,23924068352,1525961714593.1384,0
252,32.1,23924678656,1525961714793.2622,0
253,36.1,23924101120,1525961714993.2102,0
254,32.3,23923515392,1525961715193.1277,0
255,33.5,23923884032,1525961715393.3003,0
256,34.0,23923621888,1525961715593.1362,0
257,35.2,23923466240,1525961715793.1682,0
258,36.0,23924318208,1525961715993.173,0
259,34.4,23923798016,1525961716193.491,0
260,32.7,23923245056,1525961716393.2542,0
261,32.0,23924314112,1525961716593.1665,0
262,36.7,23924797440,1525961716793.2024,0
263,34.0,23923245056,1525961716993.0981,0
264,30.3,23923011584,1525961717193.078,0
265,31.0,23924293632,1525961717393.1108,0
266,32.1,23923810304,1525961717593.087,0
267,33.1,23924105216,1525961717793.3638,0
268,32.3,23923740672,1525961717993.2583,0
269,32.1,23923605504,1525961718193.285,0
270,35.9,23922962432,1525961718393.1404,0
271,34.0,23922937856,1525961718593.292,0
272,33.1,23922769920,1525961718793.9883,0
273,32.3,23923638272,1525961718994.559,0
274,30.1,23922782208,1525961719193.4463,0
275,33.1,23922331648,1525961719393.4624,0
276,34.0,23922593792,1525961719594.7737,0
277,30.5,23923019776,1525961719793.2446,0
278,34.0,23922778112,1525961719993.4807,0
279,32.5,23922372608,1525961720193.2737,0
280,32.3,23922229248,1525961720393.375,0
281,34.6,23922401280,1525961720593.165,0
282,31.0,23921524736,1525961720793.345,0
283,35.0,23922384896,1525961720993.0913,0
284,36.0,23922511872,1525961721193.2014,0
285,37.0,23921590272,1525961721393.2156,0
286,34.0,23921651712,1525961721593.3054,0
