cpu_load,mem_avail,timestamp
51.7,28586278912,1526395401446.0598
31.1,28583997440,1526395401644.266
34.0,28584173568,1526395401841.8208
32.7,28584189952,1526395402041.7124
34.8,28583505920,1526395402241.7493
32.3,28583890944,1526395402441.9895
30.2,28583456768,1526395402642.0923
34.2,28580073472,1526395402841.564
42.9,28579999744,1526395403041.8467
46.3,28580683776,1526395403245.7778
51.9,28576043008,1526395403445.4424
51.0,28580200448,1526395403641.8066
51.0,28579999744,1526395403842.0032
50.3,28580044800,1526395404041.872
51.3,28580511744,1526395404241.7612
48.1,28576858112,1526395404441.786
43.8,28580007936,1526395404641.963
51.6,28580020224,1526395404842.1067
44.7,28579663872,1526395405041.8206
48.7,28576485376,1526395405241.802
50.3,28580085760,1526395405442.112
47.7,28579979264,1526395405641.6897
53.1,28579532800,1526395405841.8193
50.6,28580524032,1526395406041.6902
46.4,28579508224,1526395406241.7979
47.2,28579614720,1526395406441.7605
43.5,28579803136,1526395406641.7886
48.4,28579827712,1526395406841.5676
48.7,28579995648,1526395407041.8513
51.6,28582936576,1526395407241.7534
48.7,28576739328,1526395407441.7612
57.8,28579524608,1526395407641.8672
54.7,28576587776,1526395407845.503
56.2,28582285312,1526395408041.8848
54.4,28577017856,1526395408241.8962
51.7,28579893248,1526395408442.2761
55.4,28578058240,1526395408641.9392
53.6,28575629312,1526395408842.0635
52.3,28575944704,1526395409042.3252
45.8,28580446208,1526395409242.1316
48.3,28576342016,1526395409445.4602
55.6,28578533376,1526395409641.7717
55.8,28572999680,1526395409841.8884
52.1,28580409344,1526395410041.8179
54.1,28574011392,1526395410242.0542
57.0,28578320384,1526395410442.0627
57.8,28574707712,1526395410642.444
52.3,28574674944,1526395410841.98
57.7,28575195136,1526395411041.8394
56.3,28574461952,1526395411245.7273
55.8,28575911936,1526395411442.814
56.6,28575326208,1526395411645.305
55.2,28572090368,1526395411842.594
50.0,28572241920,1526395412041.6494
56.8,28572278784,1526395412242.387
59.1,28574158848,1526395412442.1777
56.7,28575412224,1526395412642.2139
59.6,28575240192,1526395412842.0288
55.3,28575461376,1526395413042.0518
59.5,28572192768,1526395413242.0725
62.9,28569137152,1526395413442.7622
51.6,28573937664,1526395413642.105
57.5,28570357760,1526395413843.7139
63.2,28574228480,1526395414041.7446
63.2,28569755648,1526395414241.6494
64.9,28608712704,1526395414441.9988
64.2,28602093568,1526395414641.7002
67.5,28608442368,1526395414845.4292
57.9,28609331200,1526395415041.9114
66.7,28603998208,1526395415245.7202
67.3,28611006464,1526395415442.3123
64.6,28603301888,1526395415646.5813
68.4,28607242240,1526395415847.3184
65.0,28604338176,1526395416042.5059
66.2,28606263296,1526395416241.8823
66.9,28606242816,1526395416441.9336
59.4,28605919232,1526395416641.7375
58.7,28608335872,1526395416841.791
52.5,28608118784,1526395417041.7888
56.4,28605116416,1526395417241.8606
61.9,28606332928,1526395417442.3684
48.1,28608684032,1526395417641.8237
43.4,28606074880,1526395417844.7615
55.9,28605546496,1526395418041.9592
61.2,28603359232,1526395418242.407
60.3,28603265024,1526395418445.4905
60.1,28602736640,1526395418641.8618
66.2,28604661760,1526395418845.5435
61.7,28607475712,1526395419046.1326
57.3,28606386176,1526395419241.802
54.9,28605968384,1526395419441.6138
55.8,28605898752,1526395419642.1858
55.1,28606603264,1526395419841.7522
57.0,28606447616,1526395420042.2168
57.2,28605579264,1526395420243.0515
60.9,28605194240,1526395420442.0088
61.0,28603842560,1526395420641.9646
58.5,28607741952,1526395420842.1394
57.8,28606435328,1526395421042.5898
66.2,28605042688,1526395421241.7993
60.8,28606414848,1526395421441.8074
70.6,28605014016,1526395421645.5803
53.9,28609216512,1526395421841.8557
49.4,28605878272,1526395422042.2354
65.0,28605435904,1526395422245.434
64.1,28604448768,1526395422441.8398
66.2,28603080704,1526395422645.4033
58.8,28607004672,1526395422841.6914
56.7,28608757760,1526395423042.0154
54.4,28606390272,1526395423242.2686
53.9,28608876544,1526395423442.2292
55.2,28605726720,1526395423641.5193
63.5,28609900544,1526395423841.9414
58.8,28605964288,1526395424041.978
53.8,28608180224,1526395424241.901
55.3,28604239872,1526395424444.5496
54.8,28608008192,1526395424641.7815
51.0,28608765952,1526395424841.9844
53.2,28605796352,1526395425041.9302
55.9,28608184320,1526395425241.7896
58.2,28604583936,1526395425441.6008
62.3,28609536000,1526395425642.0422
55.3,28606189568,1526395425841.856
62.5,28607291392,1526395426041.824
57.6,28609003520,1526395426241.5798
56.1,28606464000,1526395426446.2395
62.9,28605607936,1526395426641.8872
58.3,28608761856,1526395426841.8079
57.3,28609609728,1526395427041.8152
56.3,28605976576,1526395427245.463
66.0,28605505536,1526395427442.2034
41.9,28611698688,1526395427645.366
51.6,28607045632,1526395427845.5354
54.1,28610306048,1526395428045.6172
50.3,28608094208,1526395428241.7212
59.0,28604923904,1526395428445.601
62.9,28603535360,1526395428642.1384
60.9,28605526016,1526395428842.019
67.5,28604428288,1526395429045.5647
40.9,28608032768,1526395429242.0857
48.4,28607344640,1526395429441.8633
57.2,28607754240,1526395429641.8723
56.0,28606898176,1526395429844.5552
51.0,28607827968,1526395430042.0198
58.9,28605079552,1526395430245.473
52.3,28606414848,1526395430445.4463
54.9,28604403712,1526395430641.61
50.7,28606840832,1526395430841.8838
