,cpu_load,mem_avail,timestamp
0,49.4,25754636288,1526054963867.7605
1,34.6,25753010176,1526054964066.8987
2,34.7,25749024768,1526054964264.7427
3,34.6,25749938176,1526054964464.4614
4,34.8,25749708800,1526054964664.2407
5,34.6,25750528000,1526054964864.3196
6,34.4,25749659648,1526054965063.9846
7,37.3,25749757952,1526054965264.114
8,33.6,25749643264,1526054965463.988
9,33.8,25749471232,1526054965663.976
10,35.7,25749348352,1526054965864.5066
11,35.1,25749348352,1526054966063.8904
12,38.0,25748996096,1526054966264.073
13,35.5,25749442560,1526054966463.9858
14,35.7,25749929984,1526054966663.8408
15,37.1,25748578304,1526054966863.8875
16,35.7,25749200896,1526054967064.0227
17,34.4,25748873216,1526054967263.9377
18,32.9,25748766720,1526054967463.8298
19,33.5,25749258240,1526054967664.2522
20,35.3,25749090304,1526054967864.3875
21,36.9,25748987904,1526054968064.1392
22,34.8,25748766720,1526054968264.4949
23,33.1,25749417984,1526054968464.5615
24,37.1,25749684224,1526054968664.1907
25,33.1,25749336064,1526054968864.2368
26,36.5,25749348352,1526054969064.0588
27,38.1,25730338816,1526054969264.9148
28,39.3,25728630784,1526054969464.3083
29,45.3,25728925696,1526054969664.1443
30,43.5,25729392640,1526054969863.866
31,44.9,25729454080,1526054970064.2585
32,48.1,25726926848,1526054970264.3333
33,53.9,25725865984,1526054970464.6082
34,58.4,25726078976,1526054970667.0496
35,65.3,25725558784,1526054970864.1702
36,56.2,25725865984,1526054971063.933
37,53.4,25725911040,1526054971264.9326
38,57.2,25722310656,1526054971464.0447
39,56.4,25722683392,1526054971663.936
40,53.8,25722478592,1526054971865.0798
41,53.5,25722454016,1526054972064.178
42,52.0,25722212352,1526054972264.2036
43,63.9,25719115776,1526054972465.543
44,61.3,25719472128,1526054972666.3044
45,59.5,25719619584,1526054972864.0388
46,58.4,25719377920,1526054973064.113
47,57.9,25719300096,1526054973263.9438
48,68.6,25716662272,1526054973464.1694
49,69.8,25713651712,1526054973664.255
50,64.0,25716371456,1526054973865.2405
51,68.4,25713197056,1526054974064.3167
52,68.2,25713745920,1526054974265.5022
53,69.1,25714143232,1526054974466.018
54,73.1,25712857088,1526054974665.5437
55,66.2,25713537024,1526054974865.915
56,63.5,25713946624,1526054975065.4595
57,64.1,25716371456,1526054975264.383
58,63.8,25719148544,1526054975463.954
59,65.8,25715970048,1526054975665.5923
60,60.0,25722081280,1526054975864.0247
61,64.3,25715023872,1526054976064.167
62,61.4,25715335168,1526054976264.8423
63,63.1,25715552256,1526054976465.9243
64,64.6,25714839552,1526054976666.2866
65,57.8,25720537088,1526054976863.914
66,56.7,25714647040,1526054977065.0942
67,62.4,25714827264,1526054977266.056
68,58.4,25713340416,1526054977469.8782
69,64.2,25714769920,1526054977664.1462
70,63.5,25718829056,1526054977864.3667
71,64.5,25715343360,1526054978069.4958
72,62.6,25714200576,1526054978264.2651
73,60.1,25715916800,1526054978464.1938
74,61.4,25715232768,1526054978664.073
75,62.4,25716658176,1526054978864.1006
76,65.0,25714655232,1526054979063.8008
77,62.3,25718009856,1526054979264.2134
78,59.2,25716858880,1526054979464.7017
79,56.4,25717112832,1526054979664.2283
80,60.5,25717682176,1526054979869.5566
81,58.5,25716867072,1526054980064.3682
82,60.5,25714167808,1526054980266.2515
83,57.8,25716514816,1526054980464.5068
84,58.3,25716662272,1526054980665.6501
85,61.1,25716703232,1526054980865.372
86,65.8,25716822016,1526054981066.3027
87,61.0,25716592640,1526054981263.893
88,61.3,25715793920,1526054981464.3555
89,60.9,25713885184,1526054981665.8347
90,66.2,25719496704,1526054981864.3762
91,65.8,25716137984,1526054982064.2827
92,66.0,25717448704,1526054982264.2317
93,64.9,25716817920,1526054982465.9067
94,64.2,25719058432,1526054982664.4543
95,62.1,25720647680,1526054982864.0012
96,71.3,25717620736,1526054983064.0818
97,73.3,25717137408,1526054983269.3547
98,65.5,25720655872,1526054983464.455
99,66.0,25719582720,1526054983665.9175
100,66.4,25722761216,1526054983864.3933
