cpu_load,mem_avail,timestamp
13.5,30144126976,1525526665028.9453
55.9,30114414592,1525526665228.8308
65.6,30109020160,1525526665429.6313
67.7,30112124928,1525526665627.1406
67.7,30112043008,1525526665826.993
64.2,30110629888,1525526666026.6572
63.1,30113259520,1525526666226.4778
56.9,30113624064,1525526666426.978
36.2,30112272384,1525526666626.6777
32.1,30112026624,1525526666827.1846
32.5,30111961088,1525526667026.919
31.0,30117535744,1525526667226.987
35.0,30117801984,1525526667427.2097
34.6,30117875712,1525526667629.6572
35.0,30117961728,1525526667827.1377
32.7,30117879808,1525526668026.745
39.5,30118043648,1525526668227.0215
34.4,30118178816,1525526668427.244
35.9,30118047744,1525526668627.6172
41.5,30118002688,1525526668827.8142
41.8,30117347328,1525526669027.6567
56.3,30110777344,1525526669226.777
65.0,30110429184,1525526669426.7231
51.0,30107275264,1525526669626.792
63.0,30109016064,1525526669829.6116
68.4,30106005504,1525526670026.9348
64.6,30112980992,1525526670226.7017
64.2,30107496448,1525526670426.9202
54.9,30112813056,1525526670626.8865
43.8,30111178752,1525526670826.5825
37.0,30110396416,1525526671026.3152
29.7,30110703616,1525526671226.3423
24.7,30110392320,1525526671426.3735
25.2,30111641600,1525526671626.456
19.7,30110384128,1525526671826.429
20.8,30110412800,1525526672026.3362
21.2,30110380032,1525526672226.2175
21.0,30110490624,1525526672426.542
22.2,30110818304,1525526672626.4883
20.6,30110683136,1525526672826.521
21.6,30110511104,1525526673026.3235
24.5,30110208000,1525526673226.3083
29.5,30109093888,1525526673427.1965
36.3,30106349568,1525526673627.0422
40.1,30103257088,1525526673826.6694
32.5,30103363584,1525526674026.7925
34.6,30103412736,1525526674226.541
31.6,30106791936,1525526674426.478
37.6,30108819456,1525526674626.357
40.6,30108663808,1525526674826.419
37.9,30109065216,1525526675026.5928
29.2,30111408128,1525526675226.6094
32.7,30109003776,1525526675426.5596
38.8,30111289344,1525526675626.4402
40.0,30111367168,1525526675826.7485
38.9,30110310400,1525526676026.6226
31.0,30112608256,1525526676226.7024
34.0,30110658560,1525526676426.99
32.9,30110654464,1525526676626.3467
40.4,30112813056,1525526676826.9497
32.3,30112366592,1525526677027.0051
46.0,30109143040,1525526677227.0522
58.9,30106157056,1525526677426.9146
56.3,30107725824,1525526677626.954
57.5,30107734016,1525526677826.9124
66.3,30104817664,1525526678026.8699
63.3,30104530944,1525526678226.7937
60.6,30102511616,1525526678427.0608
61.5,30114299904,1525526678627.0286
53.9,30110416896,1525526678826.8582
41.6,30110359552,1525526679026.7131
38.2,30111023104,1525526679226.5396
29.6,30111072256,1525526679426.3438
25.0,30110994432,1525526679626.805
24.2,30108479488,1525526679826.5234
25.0,30107492352,1525526680026.3943
27.8,30107262976,1525526680226.351
27.2,30111821824,1525526680426.3066
27.5,30111907840,1525526680626.561
25.3,30111326208,1525526680826.3962
