cpu_load,mem_avail,timestamp
54.6,24330391552,1526028895226.8901
47.8,24327520256,1526028895422.4275
45.2,24324857856,1526028895619.8467
43.8,24324382720,1526028895819.9578
44.9,24325435392,1526028896019.6118
43.8,24325345280,1526028896219.6565
47.4,24324993024,1526028896419.4746
42.5,24325660672,1526028896619.605
40.3,24325001216,1526028896819.6348
45.2,24325582848,1526028897019.482
44.7,24325447680,1526028897220.3044
44.9,24324419584,1526028897419.224
44.5,24324624384,1526028897620.0913
42.2,24324829184,1526028897819.595
44.1,24324976640,1526028898020.0852
45.9,24324661248,1526028898219.563
42.2,24324845568,1526028898419.553
43.9,24326062080,1526028898622.8909
42.9,24325009408,1526028898819.66
44.1,24325378048,1526028899019.547
45.3,24325132288,1526028899219.557
43.1,24324603904,1526028899419.4043
42.9,24325656576,1526028899619.5967
40.0,24324808704,1526028899819.7397
45.6,24325210112,1526028900019.64
45.2,24325492736,1526028900219.6628
44.4,24307060736,1526028900420.094
51.9,24302215168,1526028900624.6646
52.3,24302174208,1526028900825.5107
50.3,24301027328,1526028901019.9253
55.3,24300908544,1526028901219.6245
52.3,24300359680,1526028901420.3354
60.8,24299749376,1526028901620.53
56.9,24299925504,1526028901819.6145
64.1,24299753472,1526028902019.451
52.9,24299941888,1526028902219.4023
61.9,24276770816,1526028902419.8562
62.8,24262283264,1526028902622.1987
68.2,24261361664,1526028902819.5374
63.6,24261611520,1526028903020.2627
60.3,24260820992,1526028903219.457
58.6,24261832704,1526028903421.4834
62.6,24260894720,1526028903621.464
67.3,24257441792,1526028903822.156
65.6,24258191360,1526028904019.1704
63.3,24257380352,1526028904219.5242
68.6,24258338816,1526028904422.5479
69.6,24257331200,1526028904629.7947
85.1,24258039808,1526028904822.2554
80.8,24262557696,1526028905019.617
74.1,24257564672,1526028905219.2861
73.9,24260833280,1526028905419.52
75.3,24262012928,1526028905627.0557
79.6,24261566464,1526028905819.2864
78.1,24265007104,1526028906019.6135
75.0,24263004160,1526028906225.7637
75.7,24300064768,1526028906426.3997
72.3,24296902656,1526028906620.051
74.0,24296857600,1526028906819.9368
72.5,24299270144,1526028907026.01
69.1,24297058304,1526028907220.895
70.6,24303878144,1526028907420.3462
63.6,24301125632,1526028907620.0466
69.2,24304340992,1526028907820.437
77.2,24291123200,1526028908027.1465
69.1,24293158912,1526028908221.7632
71.2,24294567936,1526028908423.5315
71.2,24290058240,1526028908620.2654
69.3,24290566144,1526028908821.9573
69.4,24290095104,1526028909025.2769
64.7,24293056512,1526028909224.6335
71.2,24288948224,1526028909419.4956
69.7,24289058816,1526028909619.351
66.2,24292777984,1526028909819.5579
63.0,24289624064,1526028910019.024
70.1,24290476032,1526028910225.5662
68.7,24290799616,1526028910422.2766
64.2,24285995008,1526028910625.0117
61.6,24288722944,1526028910819.182
64.8,24289296384,1526028911025.8687
68.3,24289259520,1526028911219.341
70.3,24288645120,1526028911420.2417
64.9,24290598912,1526028911621.6929
64.2,24290496512,1526028911820.261
68.9,24289923072,1526028912026.065
66.9,24292515840,1526028912224.707
70.1,24290586624,1526028912426.3613
65.6,24292130816,1526028912619.486
68.8,24291770368,1526028912820.3052
71.6,24294989824,1526028913019.7175
72.4,24293298176,1526028913221.6982
76.8,24297357312,1526028913421.688
73.5,24294617088,1526028913625.676
67.1,24296333312,1526028913819.7605
70.1,24294879232,1526028914019.6619
71.9,24294371328,1526028914222.405
78.9,24290840576,1526028914419.9648
72.6,24294330368,1526028914619.4924
72.1,24293801984,1526028914821.1675
73.0,24293687296,1526028915021.9858
72.5,24289222656,1526028915222.3494
75.5,24293232640,1526028915419.515
72.8,24292134912,1526028915619.2812
66.0,24292864000,1526028915819.0752
76.3,24289427456,1526028916019.1526
63.3,24289783808,1526028916219.6658
73.9,24288837632,1526028916422.46
70.1,24290951168,1526028916621.6406
68.5,24292773888,1526028916819.97
71.3,24287973376,1526028917021.5894
73.2,24293404672,1526028917222.7544
68.1,24289431552,1526028917420.5376
76.8,24284274688,1526028917641.6965
74.8,24287117312,1526028917830.758
82.4,24287150080,1526028918020.341
78.9,24292704256,1526028918228.973
91.6,24269144064,1526028918421.7764
87.2,24279568384,1526028918625.574
69.6,24258453504,1526028918819.3994
75.2,24257671168,1526028919019.815
80.8,24257417216,1526028919220.0903
80.6,24256917504,1526028919425.9692
87.2,24253763584,1526028919650.9534
91.2,24254169088,1526028919821.4604
84.3,24256307200,1526028920025.2861
78.2,24256970752,1526028920219.2678
70.7,24254902272,1526028920419.5222
67.3,24252231680,1526028920622.5781
62.7,24254775296,1526028920819.6936
64.1,24257007616,1526028921019.2212
64.5,24256819200,1526028921219.3552
63.7,24257888256,1526028921419.3203
63.6,24255217664,1526028921619.683
64.3,24254300160,1526028921819.4377
60.9,24258158592,1526028922019.1501
63.6,24257589248,1526028922219.5723
69.0,24256978944,1526028922422.1892
71.2,24257445888,1526028922621.7124
63.5,24261169152,1526028922819.4675
60.1,24262512640,1526028923021.9492
64.5,24264093696,1526028923219.9353
62.0,24260743168,1526028923422.3098
62.8,24262656000,1526028923619.4395
70.5,24262053888,1526028923819.2097
61.8,24263168000,1526028924019.4136
61.7,24261746688,1526028924219.0913
65.6,24262443008,1526028924419.5579
62.1,24263442432,1526028924619.8066
66.7,24263303168,1526028924819.1597
70.2,24263307264,1526028925019.0366
69.8,24265875456,1526028925220.4202
63.4,24264548352,1526028925418.914
