,cpu_load,mem_avail,timestamp,run
0,43.5,24428216320,1526028821655.847,0
1,42.7,24422404096,1526028821856.204,0
2,38.1,24422252544,1526028822053.0752,0
3,41.2,24422576128,1526028822253.0151,0
4,44.5,24422498304,1526028822453.224,0
5,54.0,24422346752,1526028822659.1443,0
6,66.2,24421396480,1526028822866.0872,0
7,62.0,24418983936,1526028823053.0918,0
8,48.3,24415383552,1526028823253.1816,0
9,49.7,24395620352,1526028823453.4387,0
10,62.2,24393891840,1526028823653.8765,0
11,73.9,24369029120,1526028823877.7986,0
12,60.2,24364974080,1526028824053.4941,0
13,48.6,24362573824,1526028824253.475,0
14,45.7,24361750528,1526028824453.0212,0
15,42.3,24361664512,1526028824653.1182,0
16,46.3,24361852928,1526028824854.151,0
17,42.3,24361619456,1526028825053.1377,0
18,45.1,24360726528,1526028825252.9202,0
19,42.6,24361930752,1526028825453.09,0
20,40.7,24361226240,1526028825653.2517,0
21,39.2,24361598976,1526028825853.0903,0
22,43.8,24361238528,1526028826053.0713,0
23,44.4,24361672704,1526028826252.8235,0
24,50.0,24357785600,1526028826453.2043,0
25,44.7,24360701952,1526028826653.2627,0
26,45.4,24340844544,1526028826854.4253,0
27,47.0,24334028800,1526028827054.044,0
28,55.0,24332120064,1526028827253.581,0
29,53.5,24329969664,1526028827453.161,0
30,51.3,24329871360,1526028827653.1235,0
31,54.6,24330207232,1526028827852.7205,0
32,57.3,24322199552,1526028828058.4631,0
33,58.9,24320884736,1526028828253.2234,0
34,55.6,24322789376,1526028828458.75,0
35,53.9,24322187264,1526028828653.4368,0
36,51.4,24321458176,1526028828852.8806,0
37,60.9,24313536512,1526028829069.7432,0
38,64.5,24313368576,1526028829253.5151,0
39,65.6,24312025088,1526028829465.7014,0
40,57.1,24313659392,1526028829653.2285,0
41,58.8,24312930304,1526028829853.4,0
42,69.1,24306196480,1526028830053.9636,0
43,71.3,24303239168,1526028830262.1294,0
44,69.5,24303648768,1526028830452.5625,0
45,65.6,24305070080,1526028830652.9958,0
46,66.4,24304541696,1526028830853.077,0
47,76.1,24296538112,1526028831053.5112,0
48,78.2,24294539264,1526028831261.5356,0
49,76.3,24296878080,1526028831453.2073,0
50,72.8,24294203392,1526028831654.0664,0
51,74.0,24295833600,1526028831852.6885,0
52,76.4,24295063552,1526028832057.583,0
53,82.2,24291426304,1526028832260.1292,0
54,75.5,24297439232,1526028832453.1045,0
55,70.2,24293683200,1526028832653.4868,0
56,73.4,24294014976,1526028832855.9749,0
57,70.6,24293797888,1526028833061.847,0
58,70.6,24294932480,1526028833256.1584,0
59,76.0,24293924864,1526028833453.3682,0
60,70.6,24291643392,1526028833653.4578,0
61,70.4,24296284160,1526028833853.2036,0
62,71.9,24293875712,1526028834053.6587,0
63,71.7,24296783872,1526028834257.093,0
64,71.5,24293371904,1526028834452.5603,0
65,71.2,24291778560,1526028834652.6958,0
66,62.8,24292790272,1526028834852.8655,0
67,74.2,24293797888,1526028835054.1606,0
68,73.5,24291319808,1526028835259.4043,0
69,73.8,24293281792,1526028835454.2646,0
70,69.8,24290357248,1526028835653.0532,0
71,71.7,24289652736,1526028835853.139,0
72,70.4,24290504704,1526028836053.5864,0
73,70.0,24288550912,1526028836253.804,0
74,71.1,24292339712,1526028836455.7188,0
75,72.9,24291569664,1526028836654.035,0
76,71.7,24289128448,1526028836854.8262,0
77,63.0,24287485952,1526028837053.0142,0
78,62.7,24288972800,1526028837253.278,0
79,64.6,24293474304,1526028837454.5486,0
80,70.3,24289902592,1526028837658.3423,0
81,70.0,24291962880,1526028837852.831,0
82,71.5,24292278272,1526028838053.3906,0
83,70.6,24292315136,1526028838253.6174,0
84,69.0,24294518784,1526028838453.0774,0
85,74.7,24294641664,1526028838653.383,0
86,66.9,24292040704,1526028838853.5142,0
87,68.2,24295424000,1526028839053.694,0
88,66.0,24291602432,1526028839260.9863,0
89,77.0,24317186048,1526028839453.1753,0
90,70.1,24310591488,1526028839654.103,0
91,79.3,24312229888,1526028839867.0825,0
92,76.0,24315244544,1526028840061.3694,0
93,76.0,24316674048,1526028840258.1968,0
94,74.3,24316284928,1526028840453.2742,0
95,75.6,24313159680,1526028840657.2686,0
96,76.4,24316706816,1526028840853.1035,0
97,70.9,24317005824,1526028841054.5168,0
98,78.1,24319492096,1526028841253.4443,0
99,81.1,24310222848,1526028841457.7512,0
100,71.4,24317804544,1526028841653.5034,0
101,75.2,24315486208,1526028841853.2244,0
102,73.5,24316289024,1526028842053.5266,0
103,75.8,24315899904,1526028842253.422,0
104,72.5,24310329344,1526028842454.7295,0
105,76.5,24314040320,1526028842654.0098,0
106,75.2,24289869824,1526028842853.2256,0
107,71.5,24291102720,1526028843066.3064,0
108,75.2,24289087488,1526028843253.7395,0
109,72.3,24291602432,1526028843454.3884,0
110,78.6,24291217408,1526028843657.8027,0
111,74.5,24291467264,1526028843854.6082,0
112,72.4,24291966976,1526028844054.2002,0
113,75.5,24289710080,1526028844254.1436,0
114,73.2,24288956416,1526028844453.6555,0
115,72.2,24290340864,1526028844653.4883,0
116,71.5,24294420480,1526028844857.6602,0
117,73.1,24288264192,1526028845060.2693,0
118,75.7,24289144832,1526028845253.1963,0
119,76.9,24291241984,1526028845463.9917,0
120,70.3,24291704832,1526028845653.2166,0
121,70.5,24290779136,1526028845862.3982,0
122,71.8,24288382976,1526028846054.3447,0
123,71.7,24287477760,1526028846253.7766,0
124,76.5,24292061184,1526028846453.6082,0
125,69.3,24292188160,1526028846654.1274,0
126,71.6,24292352000,1526028846852.8735,0
127,74.2,24314155008,1526028847053.0269,0
128,75.8,24311554048,1526028847253.0913,0
129,74.1,24315199488,1526028847453.0315,0
130,72.1,24320139264,1526028847653.5752,0
131,70.7,24315932672,1526028847853.009,0
132,73.4,24315142144,1526028848055.7595,0
133,71.1,24322678784,1526028848252.9036,0
134,69.9,24322158592,1526028848452.9067,0
135,71.9,24322494464,1526028848653.3467,0
136,69.9,24309993472,1526028848852.916,0
137,74.4,24293441536,1526028849052.7402,0
138,73.8,24295202816,1526028849252.6646,0
139,69.7,24297160704,1526028849452.9731,0
140,68.5,24283635712,1526028849653.0476,0
141,69.2,24282943488,1526028849853.5276,0
142,69.6,24280440832,1526028850052.9946,0
143,75.6,24285126656,1526028850253.1577,0
144,67.8,24285196288,1526028850455.7954,0
145,66.2,24287518720,1526028850653.6482,0
146,67.5,24284143616,1526028850854.3855,0
147,62.9,24284979200,1526028851054.1917,0
148,68.7,24283705344,1526028851255.1982,0
149,60.8,24288854016,1526028851452.9658,0
150,64.2,24285175808,1526028851652.5256,0
151,67.1,24284798976,1526028851853.4846,0
152,75.3,24284938240,1526028852057.827,0
153,63.3,24290738176,1526028852258.7576,0
154,71.3,24287522816,1526028852457.6018,0
155,69.1,24286445568,1526028852657.0269,0
156,66.4,24315006976,1526028852854.1443,0
157,74.3,24318423040,1526028853058.2275,0
158,71.9,24313929728,1526028853253.0703,0
159,75.9,24317665280,1526028853453.4517,0
160,69.7,24320204800,1526028853653.545,0
161,71.3,24323272704,1526028853854.879,0
162,83.1,24318578688,1526028854063.0132,0
163,72.1,24319819776,1526028854253.1345,0
164,69.0,24319647744,1526028854452.7175,0
165,64.8,24319356928,1526028854656.1062,0
166,60.4,24319090688,1526028854867.1318,0
167,66.2,24319238144,1526028855053.8325,0
168,68.4,24317779968,1526028855253.2651,0
169,66.2,24317730816,1526028855454.2808,0
170,64.5,24319860736,1526028855658.3535,0
171,68.7,24320114688,1526028855853.2256,0
172,66.2,24318730240,1526028856054.3176,0
173,66.9,24319680512,1526028856253.6577,0
174,69.8,24319209472,1526028856453.4558,0
175,71.7,24320339968,1526028856652.9907,0
176,68.9,24320106496,1526028856853.2568,0
177,68.7,24320098304,1526028857061.6714,0
178,65.8,24319655936,1526028857261.6582,0
179,65.8,24315867136,1526028857453.3826,0
180,66.0,24316157952,1526028857653.5898,0
181,67.7,24316866560,1526028857853.1868,0
182,67.3,24316547072,1526028858053.6616,0
183,67.7,24315682816,1526028858253.1868,0
184,63.1,24315715584,1526028858452.9712,0
185,65.2,24315527168,1526028858653.4592,0
186,63.2,24314949632,1526028858854.3115,0
187,66.7,24315392000,1526028859061.4587,0
188,66.0,24315772928,1526028859252.911,0
189,68.5,24312012800,1526028859453.0603,0
190,67.3,24312721408,1526028859652.7332,0
191,68.2,24312385536,1526028859854.5676,0
192,68.0,24312336384,1526028860052.9185,0
193,69.5,24313790464,1526028860252.9807,0
194,70.8,24313294848,1526028860455.646,0
195,72.5,24313655296,1526028860653.2424,0
196,76.5,24311824384,1526028860852.9375,0
197,73.0,24312537088,1526028861058.6458,0
198,72.0,24313888768,1526028861252.675,0
199,73.3,24308604928,1526028861453.9976,0
200,72.8,24316186624,1526028861652.9546,0
201,71.9,24314503168,1526028861852.7832,0
202,75.9,24316395520,1526028862053.7637,0
203,77.0,24311332864,1526028862253.6086,0
204,74.4,24317886464,1526028862456.5369,0
205,76.4,24314834944,1526028862653.6653,0
206,75.8,24318898176,1526028862853.5378,0
207,75.0,24315916288,1526028863054.183,0
208,74.0,24315707392,1526028863253.2683,0
209,73.5,24316456960,1526028863453.218,0
210,78.1,24318853120,1526028863653.1555,0
211,66.2,24318357504,1526028863856.9668,0
212,73.0,24320090112,1526028864054.0442,0
213,68.7,24316694528,1526028864253.4688,0
214,72.3,24320614400,1526028864453.3535,0
215,69.0,24319655936,1526028864653.0105,0
216,67.5,24315727872,1526028864854.9934,0
217,66.2,24318251008,1526028865053.5027,0
218,65.2,24318734336,1526028865253.3044,0
219,68.2,24317947904,1526028865453.7988,0
220,65.3,24317296640,1526028865653.087,0
221,65.8,24318492672,1526028865853.2402,0
222,69.6,24316346368,1526028866057.3303,0
223,66.5,24316260352,1526028866258.5332,0
224,68.0,24315981824,1526028866453.776,0
225,67.9,24316178432,1526028866653.2437,0
226,63.7,24312631296,1526028866853.8274,0
227,66.1,24315781120,1526028867061.3877,0
228,62.2,24314470400,1526028867253.0977,0
229,61.6,24314892288,1526028867452.6118,0
230,65.6,24315338752,1526028867652.566,0
231,60.8,24314245120,1526028867856.7378,0
232,60.4,24313786368,1526028868054.6309,0
233,60.7,24314212352,1526028868253.4187,0
234,61.9,24313675776,1526028868453.5112,0
235,64.7,24312516608,1526028868653.536,0
236,63.0,24314101760,1526028868853.1675,0
237,59.1,24314277888,1526028869053.1619,0
238,58.4,24313585664,1526028869255.6572,0
239,62.2,24313991168,1526028869454.912,0
240,63.1,24313671680,1526028869653.745,0
241,62.1,24313577472,1526028869852.5305,0
242,60.8,24313753600,1526028870060.5642,0
243,61.4,24314060800,1526028870253.9868,0
244,86.7,24308031488,1526028870486.5183,0
245,85.1,24307982336,1526028870654.289,0
246,63.3,24303915008,1526028870856.1897,0
247,64.1,24307286016,1526028871054.5146,0
248,68.3,24303972352,1526028871273.684,0
249,65.9,24305713152,1526028871453.5193,0
250,71.1,24308092928,1526028871653.1191,0
251,66.7,24308015104,1526028871853.3494,0
252,72.7,24310759424,1526028872053.2922,0
253,66.9,24307556352,1526028872254.095,0
254,69.9,24307191808,1526028872457.9224,0
255,68.7,24303767552,1526028872653.0212,0
256,67.1,24304721920,1526028872853.5957,0
257,75.2,24304140288,1526028873053.8577,0
258,75.5,24304979968,1526028873257.7048,0
259,79.0,24303128576,1526028873468.541,0
260,77.1,24306139136,1526028873652.8228,0
261,73.9,24305557504,1526028873853.577,0
262,69.7,24306319360,1526028874053.2268,0
263,70.9,24305786880,1526028874253.067,0
264,74.1,24302899200,1526028874458.4617,0
265,75.3,24305688576,1526028874653.5195,0
266,69.0,24308727808,1526028874857.0132,0
267,70.2,24305528832,1526028875053.9958,0
268,70.1,24307564544,1526028875254.4387,0
269,72.4,24304893952,1526028875454.5056,0
270,75.3,24308178944,1526028875653.9814,0
271,67.8,24307941376,1526028875854.8003,0
272,63.2,24307740672,1526028876053.4705,0
273,69.0,24306610176,1526028876253.5327,0
274,66.9,24305881088,1526028876454.2144,0
275,71.4,24306470912,1526028876657.6191,0
276,67.1,24306536448,1526028876853.12,0
277,63.2,24304459776,1526028877053.8032,0
278,63.7,24306761728,1526028877252.866,0
279,61.4,24310239232,1526028877452.9226,0
280,58.9,24310874112,1526028877654.3325,0
281,64.6,24310378496,1526028877853.627,0
282,64.2,24310009856,1526028878061.7195,0
283,63.8,24309575680,1526028878254.2898,0
284,61.1,24309948416,1526028878453.9644,0
285,63.4,24309460992,1526028878653.794,0
