cpu_load,mem_avail,timestamp
8.2,27287900160,1525356682168.087
10.8,27284725760,1525356682368.887
16.9,27284725760,1525356682566.0947
12.1,27286093824,1525356682766.0383
13.3,27286384640,1525356682965.8818
10.7,27286261760,1525356683166.0615
12.9,27286016000,1525356683366.0728
10.8,27286056960,1525356683566.538
10.0,27285905408,1525356683767.7747
13.6,27285782528,1525356683967.9048
13.6,27285700608,1525356684167.88
10.7,27285667840,1525356684367.7246
17.6,27285671936,1525356684567.174
9.7,27285422080,1525356684767.7708
13.7,27285549056,1525356684967.7754
15.9,27285528576,1525356685167.6226
9.7,27285532672,1525356685368.4946
13.2,27285385216,1525356685567.936
13.0,27285458944,1525356685767.0435
9.7,27285409792,1525356685966.7888
13.1,27285409792,1525356686166.0042
17.2,27283156992,1525356686366.3027
14.8,27283836928,1525356686566.6912
14.6,27284090880,1525356686766.7058
15.0,27284975616,1525356686966.662
18.1,27283881984,1525356687166.1714
15.4,27286020096,1525356687366.2322
10.6,27286028288,1525356687566.9517
10.6,27285536768,1525356687768.0723
12.7,27283566592,1525356687966.3694
10.6,27283533824,1525356688168.1626
11.3,27283533824,1525356688368.3335
9.2,27283349504,1525356688566.888
7.1,27283025920,1525356688767.451
13.5,27282907136,1525356688968.325
12.3,27282939904,1525356689168.2434
8.4,27282948096,1525356689367.8835
13.0,27283058688,1525356689567.8342
11.9,27283066880,1525356689767.9333
9.5,27286626304,1525356689967.8032
3.8,27286650880,1525356690167.9705
3.8,27286650880,1525356690367.6953
2.5,27286650880,1525356690567.6533
4.3,27286650880,1525356690767.8257
5.8,27286736896,1525356690966.287
9.5,27286712320,1525356691167.3687
14.6,27285831680,1525356691365.993
10.8,27286429696,1525356691566.0203
11.1,27286171648,1525356691766.6777
10.7,27286052864,1525356691967.7073
9.0,27286061056,1525356692167.3809
11.9,27286462464,1525356692366.9546
12.9,27286499328,1525356692566.541
12.0,27286818816,1525356692766.078
10.5,27286773760,1525356692967.4758
10.4,27287089152,1525356693166.112
12.4,27286970368,1525356693366.09
10.1,27311861760,1525356693566.4607
11.3,27311779840,1525356693766.6565
9.6,27311722496,1525356693966.6882
14.4,27309424640,1525356694166.5193
15.4,27309330432,1525356694366.1853
14.5,27309584384,1525356694566.1968
13.9,27311771648,1525356694765.991
13.7,27308371968,1525356694966.5261
13.9,27308625920,1525356695166.735
15.0,27307995136,1525356695366.309
16.1,27310792704,1525356695566.2761
8.9,27310800896,1525356695766.2844
11.3,27310092288,1525356695965.9822
12.3,27310190592,1525356696167.7383
12.4,27310231552,1525356696367.8765
11.4,27310231552,1525356696567.616
11.7,27309912064,1525356696767.9697
10.2,27307835392,1525356696967.894
12.6,27307810816,1525356697166.4277
12.4,27309494272,1525356697366.6294
7.7,27309510656,1525356697568.064
10.8,27309514752,1525356697767.654
14.0,27309453312,1525356697966.4128
10.1,27309330432,1525356698166.5112
6.5,27309334528,1525356698367.0679
14.0,27309051904,1525356698567.9294
9.0,27309350912,1525356698766.9526
10.8,27309371392,1525356698966.504
14.6,27310518272,1525356699165.828
10.1,27310817280,1525356699366.0093
10.1,27310837760,1525356699566.1858
11.9,27307724800,1525356699765.9902
7.7,27307663360,1525356699966.1416
10.2,27311030272,1525356700166.062
12.8,27311030272,1525356700366.165
10.6,27310305280,1525356700566.0376
11.2,27310186496,1525356700766.0994
12.3,27310129152,1525356700967.0671
11.2,27310075904,1525356701166.8408
12.7,27310006272,1525356701366.5784
14.1,27309944832,1525356701566.4966
13.0,27310284800,1525356701767.0752
12.3,27310161920,1525356701966.2527
9.6,27310178304,1525356702166.5647
8.4,27310186496,1525356702367.2483
8.4,27310059520,1525356702566.7903
14.1,27310186496,1525356702766.8523
14.1,27310084096,1525356702966.8684
8.4,27309989888,1525356703166.3428
9.5,27309965312,1525356703366.7354
9.7,27319640064,1525356703566.1094
13.5,27317145600,1525356703767.0676
9.5,27319619584,1525356703967.5996
15.9,27317682176,1525356704166.6877
14.0,27317415936,1525356704366.4253
15.6,27318005760,1525356704566.4358
15.5,27318005760,1525356704766.28
13.9,27320832000,1525356704966.143
10.8,27320868864,1525356705166.6138
12.9,27320778752,1525356705367.6082
9.6,27320938496,1525356705568.1748
12.3,27320950784,1525356705768.596
15.8,27320598528,1525356705968.3196
12.6,27320733696,1525356706168.011
12.6,27320348672,1525356706367.752
14.1,27320479744,1525356706568.097
14.5,27320496128,1525356706768.263
13.0,27320504320,1525356706968.0818
14.8,27320393728,1525356707167.6265
10.7,27320676352,1525356707368.0337
13.2,27320651776,1525356707567.4658
12.6,27320766464,1525356707766.6191
7.1,27320766464,1525356707967.098
9.5,27320381440,1525356708166.4072
9.5,27320401920,1525356708366.984
11.9,27320401920,1525356708566.3584
9.6,27320627200,1525356708766.366
12.3,27320397824,1525356708966.1875
10.6,27320410112,1525356709166.473
8.3,27320401920,1525356709367.3386
13.0,27320406016,1525356709566.3464
8.4,27320410112,1525356709766.6653
14.0,27320401920,1525356709967.4282
13.0,27320401920,1525356710167.1416
7.8,27320549376,1525356710366.4417
10.7,27320524800,1525356710566.9065
10.1,27320492032,1525356710766.4683
13.5,27320446976,1525356710967.697
14.6,27320446976,1525356711166.8276
14.9,27320590336,1525356711365.8257
9.6,27320352768,1525356711565.976
9.4,27320082432,1525356711767.454
18.8,27320176640,1525356711966.7139
13.6,27320115200,1525356712167.8762
10.9,27320061952,1525356712366.6416
10.9,27320029184,1525356712566.718
11.3,27320430592,1525356712766.7046
13.1,27320496128,1525356712966.7656
10.2,27320242176,1525356713166.4626
10.2,27320311808,1525356713366.1191
14.5,27320602624,1525356713565.8872
12.3,27320700928,1525356713766.0752
12.6,27317239808,1525356713966.6562
13.5,27317342208,1525356714165.8142
17.1,27317342208,1525356714366.3088
13.9,27320373248,1525356714565.9905
16.0,27316228096,1525356714766.3887
14.9,27317497856,1525356714966.4927
16.7,27317501952,1525356715166.3242
13.7,27320680448,1525356715366.247
8.9,27320684544,1525356715566.4724
9.6,27320557568,1525356715766.5146
11.9,27320590336,1525356715966.8323
17.8,27320602624,1525356716166.573
12.4,27320479744,1525356716366.8193
10.8,27320352768,1525356716567.2556
9.0,27320037376,1525356716766.2305
16.6,27320487936,1525356716965.9856
13.5,27320283136,1525356717166.1309
12.8,27320385536,1525356717366.0913
10.1,27320451072,1525356717566.047
12.3,27320307712,1525356717767.713
13.0,27320344576,1525356717966.3433
11.2,27320217600,1525356718165.9033
12.3,27320201216,1525356718366.4326
12.9,27320786944,1525356718566.7397
11.4,27320754176,1525356718766.9268
11.4,27320889344,1525356718966.5374
11.3,27320889344,1525356719167.7383
12.0,27320733696,1525356719366.2856
11.3,27320631296,1525356719566.4216
10.3,27320631296,1525356719767.2173
12.5,27321290752,1525356719966.6274
13.6,27321167872,1525356720167.861
17.3,27321311232,1525356720367.6692
13.0,27320897536,1525356720567.6882
13.5,27320692736,1525356720766.4011
11.9,27320664064,1525356720967.175
12.6,27320672256,1525356721167.6187
12.0,27320582144,1525356721367.387
14.1,27320528896,1525356721566.8213
11.4,27320774656,1525356721767.5137
11.9,27320807424,1525356721967.4414
16.9,27320807424,1525356722167.9695
15.8,27320934400,1525356722367.2776
10.7,27320807424,1525356722567.7405
14.2,27320807424,1525356722767.6277
8.4,27320827904,1525356722967.8591
9.6,27320688640,1525356723168.0198
14.7,27320565760,1525356723368.2297
15.7,27320381440,1525356723567.8416
10.3,27320745984,1525356723767.4077
13.6,27320745984,1525356723967.884
12.3,27320750080,1525356724167.5068
13.6,27320750080,1525356724367.9092
19.1,27320815616,1525356724567.6096
10.6,27320336384,1525356724767.2432
9.7,27320602624,1525356724967.078
14.6,27320995840,1525356725165.8972
12.6,27317960704,1525356725366.6318
13.9,27318075392,1525356725566.3633
14.0,27317923840,1525356725765.9282
16.0,27320729600,1525356725965.935
11.2,27320606720,1525356726167.1328
13.3,27320717312,1525356726368.3672
13.6,27320692736,1525356726568.3062
13.0,27320610816,1525356726768.055
13.6,27320516608,1525356726966.8875
10.7,27320516608,1525356727168.2983
13.8,27320516608,1525356727367.6816
13.0,27320459264,1525356727566.7795
11.8,27320651776,1525356727766.3574
12.8,27320590336,1525356727966.3801
10.0,27320524800,1525356728167.7476
9.7,27320508416,1525356728366.1877
14.4,27320934400,1525356728565.817
8.8,27321126912,1525356728766.9075
11.7,27321163776,1525356728967.8748
11.9,27321135104,1525356729166.7764
11.3,27321135104,1525356729367.9512
9.6,27321106432,1525356729567.7363
15.7,27321163776,1525356729767.6743
14.1,27321196544,1525356729967.7197
12.7,27321196544,1525356730166.743
13.4,27321204736,1525356730367.3096
15.7,27321212928,1525356730567.3984
11.5,27321212928,1525356730767.3167
11.9,27321286656,1525356730967.4414
13.7,27321335808,1525356731167.3545
13.1,27321389056,1525356731367.2207
